t z 
0.0000000000 1.3224215164 
0.0500000000 1.2061135419 
0.1000000000 1.1375981359 
0.1500000000 1.1076834369 
0.1900000000 1.1038664181 
0.2400000000 1.1152329446 
0.2900000000 1.1360329218 
0.3300000000 1.1551029800 
0.3800000000 1.1783332158 
0.4300000000 1.1970923154 
0.4700000000 1.2082599368 
0.5200000000 1.2170360311 
0.5700000000 1.2196139561 
0.6100000000 1.2172174402 
0.6600000000 1.2078073342 
0.7100000000 1.1892533463 
0.7500000000 1.1705722482 
0.8000000000 1.1428470985 
0.8500000000 1.1106807088 
0.8900000000 1.0820756625 
0.9400000000 1.0431607462 
0.9900000000 1.0011487254 
1.0300000000 0.9667486517 
1.0800000000 0.9221161581 
1.1300000000 0.8756769539 
1.1700000000 0.8375128167 
1.2200000000 0.7890103072 
1.2700000000 0.7417944949 
1.3100000000 0.7058146830 
1.3600000000 0.6607026714 
1.4100000000 0.6157444655 
1.4500000000 0.5801415051 
1.5000000000 0.5387677264 
1.5500000000 0.4986984762 
1.5900000000 0.4673061472 
1.6400000000 0.4290758648 
1.6900000000 0.3934053951 
1.7300000000 0.3664300883 
1.7800000000 0.3339214589 
1.8300000000 0.3028984353 
1.8700000000 0.2791878105 
1.9200000000 0.2522497680 
1.9700000000 0.2268711210 
2.0100000000 0.2076992866 
2.0600000000 0.1852133169 
2.1100000000 0.1644564819 
2.1500000000 0.1491729658 
2.2000000000 0.1314814523 
2.2500000000 0.1153917938 
2.2900000000 0.1036279572 
2.3400000000 0.0903872695 
2.3900000000 0.0785584798 
2.4300000000 0.0702533236 
2.4800000000 0.0613326267 
2.5300000000 0.0539733582 
2.5700000000 0.0492054866 
2.6200000000 0.0445399908 
2.6700000000 0.0410343101 
2.7100000000 0.0392085653 
2.7600000000 0.0378380868 
2.8100000000 0.0371778525 
2.8500000000 0.0369722682 
2.9000000000 0.0369248276 
2.9500000000 0.0370463353 
2.9900000000 0.0374320836 
3.0400000000 0.0378118115 
3.0900000000 0.0380051169 
3.1300000000 0.0380033463 
3.1800000000 0.0377400786 
3.2300000000 0.0372125023 
3.2700000000 0.0367883201 
3.3200000000 0.0366219490 
3.3700000000 0.0361806438 
3.4100000000 0.0356535795 
3.4600000000 0.0347872732 
3.5100000000 0.0336653051 
3.5500000000 0.0326436237 
3.6000000000 0.0317077965 
3.6500000000 0.0308844807 
3.6900000000 0.0300862192 
3.7400000000 0.0289949099 
3.7900000000 0.0277851639 
3.8300000000 0.0266992703 
3.8800000000 0.0253804612 
3.9300000000 0.0245355949 
3.9700000000 0.0237411818 
4.0200000000 0.0227166643 
4.0700000000 0.0216201999 
4.1100000000 0.0207105146 
4.1600000000 0.0196079816 
4.2100000000 0.0185791720 
4.2500000000 0.0177746301 
4.3000000000 0.0168085055 
4.3500000000 0.0158569266 
4.3900000000 0.0151777909 
4.4400000000 0.0142249859 
4.4900000000 0.0132360402 
4.5300000000 0.0125589713 
4.5800000000 0.0118469725 
4.6300000000 0.0112006182 
4.6700000000 0.0108405024 
4.7200000000 0.0100815251 
4.7700000000 0.0094358467 
4.8100000000 0.0090419864 
4.8600000000 0.0087161093 
4.9100000000 0.0086233114 
4.9500000000 0.0085262715 
5.0000000000 0.0078553428 
5.0500000000 0.0075032402 
5.0900000000 0.0073880516 
5.1400000000 0.0074283744 
5.1900000000 0.0077450421 
5.2300000000 0.0072432697 
5.2800000000 0.0069471453 
5.3300000000 0.0068670131 
5.3700000000 0.0069627751 
5.4200000000 0.0073728766 
5.4700000000 0.0072417208 
5.5100000000 0.0069657189 
5.5600000000 0.0068624577 
5.6100000000 0.0070320551 
5.6500000000 0.0073400988 
5.7000000000 0.0080762894 
5.7500000000 0.0074546372 
5.7900000000 0.0072812182 
5.8400000000 0.0072924550 
5.8900000000 0.0075366832 
5.9300000000 0.0079305817 
5.9800000000 0.0080672583 
6.0300000000 0.0077197976 
6.0700000000 0.0076586679 
6.1200000000 0.0077435137 
6.1700000000 0.0080254108 
6.2100000000 0.0084785407 
6.2600000000 0.0084003664 
6.3100000000 0.0081449216 
6.3500000000 0.0081128236 
6.4000000000 0.0082009699 
6.4500000000 0.0084462480 
6.5000000000 0.0089713611 
6.5400000000 0.0090153597 
6.5900000000 0.0087191683 
6.6400000000 0.0086803765 
6.6800000000 0.0087195777 
6.7300000000 0.0088664746 
6.7800000000 0.0092207274 
6.8200000000 0.0097324690 
6.8700000000 0.0094550885 
6.9200000000 0.0092896566 
6.9600000000 0.0092715136 
7.0100000000 0.0092968985 
7.0600000000 0.0093922800 
7.1000000000 0.0095742442 
7.1500000000 0.0100468238 
7.2000000000 0.0098267827 
7.2400000000 0.0097216233 
7.2900000000 0.0097078799 
7.3400000000 0.0097040049 
7.3800000000 0.0096982003 
7.4300000000 0.0097526739 
7.4800000000 0.0099702218 
7.5200000000 0.0103362250 
7.5700000000 0.0103114691 
7.6200000000 0.0101303137 
7.6600000000 0.0101192967 
7.7100000000 0.0101196542 
7.7600000000 0.0100898757 
7.8000000000 0.0100664739 
7.8500000000 0.0100932865 
7.9000000000 0.0102603709 
7.9400000000 0.0105553516 
7.9900000000 0.0108694350 
8.0400000000 0.0105379636 
8.0800000000 0.0104942498 
8.1300000000 0.0105250061 
8.1800000000 0.0105328761 
8.2200000000 0.0104929162 
8.2700000000 0.0104098070 
8.3200000000 0.0103113338 
8.3600000000 0.0102790844 
8.4100000000 0.0103562895 
8.4600000000 0.0106204237 
8.5000000000 0.0109945657 
8.5500000000 0.0107322553 
8.6000000000 0.0106256512 
8.6400000000 0.0106551813 
8.6900000000 0.0107049526 
8.7400000000 0.0106970497 
8.7800000000 0.0106200356 
8.8300000000 0.0104639767 
8.8800000000 0.0102994777 
8.9200000000 0.0101703687 
8.9700000000 0.0100861253 
9.0200000000 0.0101332399 
9.0600000000 0.0102672925 
9.1100000000 0.0106438900 
9.1600000000 0.0111918667 
9.2000000000 0.0107322775 
9.2500000000 0.0105152300 
9.3000000000 0.0104949427 
9.3400000000 0.0105128600 
9.3900000000 0.0105147603 
9.4400000000 0.0104509788 
9.4800000000 0.0103569746 
9.5300000000 0.0101999455 
9.5800000000 0.0100567570 
9.6200000000 0.0099492753 
9.6700000000 0.0098838975 
9.7200000000 0.0099188640 
9.7600000000 0.0100428440 
9.8100000000 0.0103274618 
9.8600000000 0.0107431652 
9.9000000000 0.0111850412 
9.9500000000 0.0109529448 
10.0000000000 0.0105141359 
10.0400000000 0.0103816176 
10.0900000000 0.0103425965 
10.1400000000 0.0103319794 
10.1800000000 0.0103037747 
10.2300000000 0.0102113397 
10.2800000000 0.0100733292 
10.3200000000 0.0099118603 
10.3700000000 0.0097063460 
10.4200000000 0.0094965807 
10.4600000000 0.0093555248 
10.5100000000 0.0092417265 
10.5600000000 0.0092314571 
10.6000000000 0.0093056981 
10.6500000000 0.0095179946 
10.7000000000 0.0098592454 
10.7400000000 0.0102237095 
10.7900000000 0.0100759811 
10.8400000000 0.0098348455 
10.8800000000 0.0098255552 
10.9300000000 0.0099057402 
10.9800000000 0.0099664653 
11.0200000000 0.0099881784 
11.0700000000 0.0099366338 
11.1200000000 0.0097974647 
11.1600000000 0.0096492477 
11.2100000000 0.0094250115 
11.2600000000 0.0091715622 
11.3000000000 0.0089707647 
11.3500000000 0.0087526671 
11.4000000000 0.0086100157 
11.4400000000 0.0085613904 
11.4900000000 0.0085941559 
11.5400000000 0.0087336647 
11.5800000000 0.0089457058 
11.6300000000 0.0093040919 
11.6800000000 0.0097491783 
11.7200000000 0.0101667805 
11.7700000000 0.0101479407 
11.8200000000 0.0096266660 
11.8600000000 0.0095009833 
11.9100000000 0.0095348233 
11.9600000000 0.0096547329 
12.0000000000 0.0097308825 
12.0500000000 0.0097770027 
12.1000000000 0.0097334762 
12.1400000000 0.0096629055 
12.1900000000 0.0094779802 
12.2400000000 0.0092576310 
12.2800000000 0.0090256913 
12.3300000000 0.0087214418 
12.3800000000 0.0084338113 
12.4200000000 0.0082134044 
12.4700000000 0.0079743892 
12.5200000000 0.0077769139 
12.5600000000 0.0076545641 
12.6100000000 0.0075636910 
12.6600000000 0.0075429611 
12.7000000000 0.0075842974 
12.7500000000 0.0076813556 
12.8000000000 0.0078406539 
12.8500000000 0.0079954138 
12.8900000000 0.0081383387 
12.9400000000 0.0083595915 
12.9900000000 0.0085583689 
13.0300000000 0.0087451785 
13.0800000000 0.0089738996 
13.1300000000 0.0091407487 
13.1700000000 0.0092860567 
13.2200000000 0.0094496658 
13.2700000000 0.0092885997 
13.3100000000 0.0089993109 
13.3600000000 0.0089705984 
13.4100000000 0.0091733651 
13.4500000000 0.0094415134 
13.5000000000 0.0098244154 
13.5500000000 0.0102060511 
13.5900000000 0.0104805958 
13.6400000000 0.0108033606 
13.6900000000 0.0110961702 
13.7300000000 0.0112528936 
13.7800000000 0.0115085122 
13.8300000000 0.0117180517 
13.8700000000 0.0119020312 
13.9200000000 0.0120922913 
13.9700000000 0.0122669529 
14.0100000000 0.0124531531 
14.0600000000 0.0126662027 
14.1100000000 0.0128935178 
14.1500000000 0.0131442302 
14.2000000000 0.0119442772 
14.2500000000 0.0106334315 
14.2900000000 0.0098209881 
14.3400000000 0.0090675496 
14.3900000000 0.0086174244 
14.4300000000 0.0084612123 
14.4800000000 0.0084567064 
14.5300000000 0.0087178492 
14.5700000000 0.0090672715 
14.6200000000 0.0097061029 
14.6700000000 0.0090168389 
14.7100000000 0.0080137729 
14.7600000000 0.0072376664 
14.8100000000 0.0069245579 
14.8500000000 0.0069912306 
14.9000000000 0.0072681872 
14.9500000000 0.0078402511 
14.9900000000 0.0085112483 
15.0400000000 0.0085862068 
15.0900000000 0.0076854778 
15.1300000000 0.0073325085 
15.1800000000 0.0073078123 
15.2300000000 0.0075580580 
15.2700000000 0.0079701933 
15.3200000000 0.0087484194 
15.3700000000 0.0088959951 
15.4100000000 0.0082864289 
15.4600000000 0.0080287359 
15.5100000000 0.0080991210 
15.5500000000 0.0083199723 
15.6000000000 0.0088559449 
15.6500000000 0.0093331311 
15.6900000000 0.0088010848 
15.7400000000 0.0086127042 
15.7900000000 0.0086451092 
15.8300000000 0.0088208606 
15.8800000000 0.0092727870 
15.9300000000 0.0092008159 
15.9700000000 0.0090414547 
16.0200000000 0.0090252517 
16.0700000000 0.0091240706 
16.1100000000 0.0093380918 
16.1600000000 0.0096712734 
16.2100000000 0.0094219098 
16.2500000000 0.0094010442 
16.3000000000 0.0094498630 
16.3500000000 0.0096364612 
16.3900000000 0.0100216589 
16.4400000000 0.0097321480 
16.4900000000 0.0097064255 
16.5300000000 0.0097223998 
16.5800000000 0.0098360056 
16.6300000000 0.0100422909 
16.6700000000 0.0099198620 
16.7200000000 0.0099145429 
16.7700000000 0.0099231794 
16.8100000000 0.0099926639 
16.8600000000 0.0100723668 
16.9100000000 0.0100405773 
16.9500000000 0.0100318671 
17.0000000000 0.0100053999 
17.0500000000 0.0101087662 
17.0900000000 0.0100765167 
17.1400000000 0.0100738371 
17.1900000000 0.0100365216 
17.2300000000 0.0099940339 
17.2800000000 0.0100816457 
17.3300000000 0.0100285459 
17.3700000000 0.0100339004 
17.4200000000 0.0099613645 
17.4700000000 0.0098870708 
17.5100000000 0.0098993435 
17.5600000000 0.0099234757 
17.6100000000 0.0099022445 
17.6500000000 0.0098227955 
17.7000000000 0.0097362350 
17.7500000000 0.0097446350 
17.7900000000 0.0097776010 
17.8400000000 0.0097408339 
17.8900000000 0.0096239789 
17.9300000000 0.0095333747 
17.9800000000 0.0095788253 
18.0300000000 0.0096217962 
18.0700000000 0.0095582050 
18.1200000000 0.0094011785 
18.1700000000 0.0092993030 
18.2100000000 0.0093410219 
18.2600000000 0.0093804791 
18.3100000000 0.0093020453 
18.3500000000 0.0091910572 
18.4000000000 0.0090774067 
18.4500000000 0.0090956608 
18.4900000000 0.0091268189 
18.5400000000 0.0090588339 
18.5900000000 0.0089192082 
18.6300000000 0.0088184805 
18.6800000000 0.0087904568 
18.7300000000 0.0088138182 
18.7700000000 0.0087985705 
18.8200000000 0.0086953931 
18.8700000000 0.0085244305 
18.9100000000 0.0084610911 
18.9600000000 0.0084092479 
19.0100000000 0.0083799886 
19.0500000000 0.0083055939 
19.1000000000 0.0081514683 
19.1500000000 0.0079480970 
19.2000000000 0.0078280076 
19.2400000000 0.0078068281 
19.2900000000 0.0077731281 
19.3400000000 0.0077036333 
19.3800000000 0.0076006074 
19.4300000000 0.0074582552 
19.4800000000 0.0073052324 
19.5200000000 0.0072440427 
19.5700000000 0.0071942910 
19.6200000000 0.0071636088 
19.6600000000 0.0071111300 
19.7100000000 0.0069836919 
19.7600000000 0.0068644109 
19.8000000000 0.0067734093 
19.8500000000 0.0066652646 
19.9000000000 0.0066692353 
19.9400000000 0.0066935844 
19.9900000000 0.0066888989 
20.0400000000 0.0066645639 
20.0800000000 0.0066403956 
20.1300000000 0.0066101057 
20.1800000000 0.0065917492 
20.2200000000 0.0064634672 
20.2700000000 0.0062962514 
20.3200000000 0.0061815614 
20.3600000000 0.0061578448 
20.4100000000 0.0061887027 
20.4600000000 0.0063288144 
20.5000000000 0.0065273253 
20.5500000000 0.0064471361 
20.6000000000 0.0061458405 
20.6400000000 0.0060374594 
20.6900000000 0.0060412997 
20.7400000000 0.0062188568 
20.7800000000 0.0064950243 
20.8300000000 0.0069945979 
20.8800000000 0.0065822188 
20.9200000000 0.0062871068 
20.9700000000 0.0062136575 
21.0200000000 0.0064123835 
21.0600000000 0.0068028486 
21.1100000000 0.0075515640 
21.1600000000 0.0073163739 
21.2000000000 0.0067799067 
21.2500000000 0.0066007490 
21.3000000000 0.0068139332 
21.3400000000 0.0072680048 
21.3900000000 0.0081257546 
21.4400000000 0.0071567056 
21.4800000000 0.0068650948 
21.5300000000 0.0069168945 
21.5800000000 0.0074400519 
21.6200000000 0.0081277378 
21.6700000000 0.0078888012 
21.7200000000 0.0073843233 
21.7600000000 0.0073668508 
21.8100000000 0.0077651657 
21.8600000000 0.0085914489 
21.9000000000 0.0081910532 
21.9500000000 0.0077602837 
22.0000000000 0.0078744475 
22.0400000000 0.0082848333 
22.0900000000 0.0091966936 
22.1400000000 0.0083961424 
22.1800000000 0.0082182144 
22.2300000000 0.0084017763 
22.2800000000 0.0090172298 
22.3200000000 0.0090302803 
22.3700000000 0.0086424313 
22.4200000000 0.0086788641 
22.4600000000 0.0089740059 
22.5100000000 0.0093699820 
22.5600000000 0.0089578892 
22.6000000000 0.0089392490 
22.6500000000 0.0091540769 
22.7000000000 0.0097146461 
22.7400000000 0.0093477946 
22.7900000000 0.0092783257 
22.8400000000 0.0094090691 
22.8800000000 0.0096832627 
22.9300000000 0.0096753105 
22.9800000000 0.0095962010 
23.0200000000 0.0096339285 
23.0700000000 0.0098288484 
23.1200000000 0.0099554608 
23.1600000000 0.0098551178 
23.2100000000 0.0098576478 
23.2600000000 0.0099475969 
23.3000000000 0.0102020064 
23.3500000000 0.0100312392 
23.4000000000 0.0100252110 
23.4400000000 0.0100380380 
23.4900000000 0.0101752441 
23.5400000000 0.0101336360 
23.5800000000 0.0101329206 
23.6300000000 0.0101123667 
23.6800000000 0.0101151196 
23.7200000000 0.0101856668 
23.7700000000 0.0101595063 
23.8200000000 0.0101521517 
23.8600000000 0.0100952841 
23.9100000000 0.0100743795 
23.9600000000 0.0100855077 
24.0000000000 0.0101071071 
24.0500000000 0.0100429669 
24.1000000000 0.0099094595 
24.1400000000 0.0098631569 
24.1900000000 0.0099069663 
24.2400000000 0.0099388011 
24.2800000000 0.0098534648 
24.3300000000 0.0096581924 
24.3800000000 0.0095537259 
24.4200000000 0.0096440456 
24.4700000000 0.0096708052 
24.5200000000 0.0095317964 
24.5600000000 0.0093335069 
24.6100000000 0.0090996022 
24.6600000000 0.0091657819 
24.7000000000 0.0092299309 
24.7500000000 0.0091624599 
24.8000000000 0.0089628771 
24.8400000000 0.0087355857 
24.8900000000 0.0085004777 
24.9400000000 0.0086253193 
24.9800000000 0.0086563068 
25.0300000000 0.0085865214 
25.0800000000 0.0083718533 
25.1200000000 0.0081592073 
25.1700000000 0.0078826377 
25.2200000000 0.0078859728 
25.2600000000 0.0079857813 
25.3100000000 0.0080070391 
25.3600000000 0.0078901361 
25.4000000000 0.0077237310 
25.4500000000 0.0074624414 
25.5000000000 0.0071887341 
25.5500000000 0.0070474260 
25.5900000000 0.0071684315 
25.6400000000 0.0072519718 
25.6900000000 0.0072673879 
25.7300000000 0.0072126311 
25.7800000000 0.0070524010 
25.8300000000 0.0068238933 
25.8700000000 0.0066062898 
25.9200000000 0.0063320301 
25.9700000000 0.0060752353 
26.0100000000 0.0061781961 
26.0600000000 0.0062592540 
26.1100000000 0.0062898325 
26.1500000000 0.0062666115 
26.2000000000 0.0062073587 
26.2500000000 0.0060704004 
26.2900000000 0.0059664554 
26.3400000000 0.0058104320 
26.3900000000 0.0056466338 
26.4300000000 0.0055247648 
26.4800000000 0.0053719981 
26.5300000000 0.0052372956 
26.5700000000 0.0051605527 
26.6200000000 0.0051280886 
26.6700000000 0.0050761367 
26.7100000000 0.0050228502 
26.7600000000 0.0050261680 
26.8100000000 0.0050976764 
26.8500000000 0.0052202130 
26.9000000000 0.0053754553 
26.9500000000 0.0056211470 
26.9900000000 0.0058464060 
27.0400000000 0.0061754329 
27.0900000000 0.0065249336 
27.1300000000 0.0069178776 
27.1800000000 0.0073683895 
27.2300000000 0.0079529876 
27.2700000000 0.0073011792 
27.3200000000 0.0062997961 
27.3700000000 0.0056171321 
27.4100000000 0.0052364680 
27.4600000000 0.0051012363 
27.5100000000 0.0050989281 
27.5500000000 0.0052650477 
27.6000000000 0.0055878601 
27.6500000000 0.0060682680 
27.6900000000 0.0065521036 
27.7400000000 0.0072230275 
27.7900000000 0.0080202631 
27.8300000000 0.0087230268 
27.8800000000 0.0096513234 
27.9300000000 0.0100671198 
27.9700000000 0.0088009219 
28.0200000000 0.0076850250 
28.0700000000 0.0070402986 
28.1100000000 0.0067871003 
28.1600000000 0.0066737317 
28.2100000000 0.0067326772 
28.2500000000 0.0068522028 
28.3000000000 0.0071719779 
28.3500000000 0.0075982296 
28.3900000000 0.0080426341 
28.4400000000 0.0087546227 
28.4900000000 0.0095908125 
28.5300000000 0.0090778272 
28.5800000000 0.0083502783 
28.6300000000 0.0080386212 
28.6700000000 0.0079512983 
28.7200000000 0.0079449835 
28.7700000000 0.0079786818 
28.8100000000 0.0080335624 
28.8600000000 0.0081701557 
28.9100000000 0.0084210489 
28.9500000000 0.0087190907 
29.0000000000 0.0092638618 
29.0500000000 0.0091246940 
29.0900000000 0.0088479259 
29.1400000000 0.0087528265 
29.1900000000 0.0087485583 
29.2300000000 0.0087442086 
29.2800000000 0.0087205335 
29.3300000000 0.0086916334 
29.3700000000 0.0086910178 
29.4200000000 0.0087716677 
29.4700000000 0.0090087498 
29.5100000000 0.0093385328 
29.5600000000 0.0090267291 
29.6100000000 0.0089959654 
29.6500000000 0.0090227358 
29.7000000000 0.0090177145 
29.7500000000 0.0089710526 
29.7900000000 0.0088816873 
29.8400000000 0.0087834757 
29.8900000000 0.0087444785 
29.9300000000 0.0088072855 
29.9800000000 0.0089376060 
30.0300000000 0.0088612422 
30.0700000000 0.0089071984 
30.1200000000 0.0089515709 
30.1700000000 0.0089136110 
30.2100000000 0.0088326091 
30.2600000000 0.0086628980 
30.3100000000 0.0085075490 
30.3500000000 0.0084477509 
30.4000000000 0.0085281270 
30.4500000000 0.0085257503 
30.4900000000 0.0085238100 
30.5400000000 0.0085611024 
30.5900000000 0.0085527167 
30.6300000000 0.0084788814 
30.6800000000 0.0083411016 
30.7300000000 0.0082012978 
30.7700000000 0.0081342677 
30.8200000000 0.0081878602 
30.8700000000 0.0083496153 
30.9100000000 0.0082538238 
30.9600000000 0.0082561003 
31.0100000000 0.0082624485 
31.0500000000 0.0082338076 
31.1000000000 0.0081449203 
31.1500000000 0.0080666460 
31.1900000000 0.0080632940 
31.2400000000 0.0082030847 
31.2900000000 0.0085804694 
31.3300000000 0.0083528298 
31.3800000000 0.0082928261 
31.4300000000 0.0082947184 
31.4700000000 0.0082812218 
31.5200000000 0.0082420007 
31.5700000000 0.0082017303 
31.6100000000 0.0082279572 
31.6600000000 0.0084035599 
31.7100000000 0.0088030438 
31.7500000000 0.0086806800 
31.8000000000 0.0085326692 
31.8500000000 0.0085087138 
31.9000000000 0.0084952062 
31.9400000000 0.0084707651 
31.9900000000 0.0084638150 
32.0400000000 0.0085414228 
32.0800000000 0.0087199816 
32.1300000000 0.0091681425 
32.1800000000 0.0088491407 
32.2200000000 0.0087966856 
32.2700000000 0.0087997578 
32.3200000000 0.0087902430 
32.3600000000 0.0087728460 
32.4100000000 0.0087710151 
32.4600000000 0.0088715617 
32.5000000000 0.0090977401 
32.5500000000 0.0093800735 
32.6000000000 0.0091258876 
32.6400000000 0.0091014325 
32.6900000000 0.0091021025 
32.7400000000 0.0090951333 
32.7800000000 0.0090864863 
32.8300000000 0.0091208030 
32.8800000000 0.0093081823 
32.9200000000 0.0096114505 
32.9700000000 0.0093298883 
33.0200000000 0.0092859197 
33.0600000000 0.0092831483 
33.1100000000 0.0092656303 
33.1600000000 0.0092290866 
33.2000000000 0.0092621583 
33.2500000000 0.0094600084 
33.3000000000 0.0096989409 
33.3400000000 0.0094518155 
33.3900000000 0.0093848766 
33.4400000000 0.0093617256 
33.4800000000 0.0093420477 
33.5300000000 0.0093447603 
33.5800000000 0.0094329610 
33.6200000000 0.0096516637 
33.6700000000 0.0095032040 
33.7200000000 0.0094227676 
33.7600000000 0.0094105347 
33.8100000000 0.0093939882 
33.8600000000 0.0093740374 
33.9000000000 0.0094001234 
33.9500000000 0.0094977278 
34.0000000000 0.0093923373 
34.0400000000 0.0093845491 
34.0900000000 0.0093422353 
34.1400000000 0.0092873925 
34.1800000000 0.0092442471 
34.2300000000 0.0093188682 
34.2800000000 0.0092435884 
34.3200000000 0.0092053270 
34.3700000000 0.0091548514 
34.4200000000 0.0090623499 
34.4600000000 0.0089846954 
34.5100000000 0.0089973483 
34.5600000000 0.0089318907 
34.6000000000 0.0088977963 
34.6500000000 0.0088390837 
34.7000000000 0.0087487682 
34.7400000000 0.0086438226 
34.7900000000 0.0085774448 
34.8400000000 0.0085655113 
34.8800000000 0.0085398330 
34.9300000000 0.0084739267 
34.9800000000 0.0083463582 
35.0200000000 0.0082052139 
35.0700000000 0.0081274393 
35.1200000000 0.0081484720 
35.1600000000 0.0081222599 
35.2100000000 0.0080008232 
35.2600000000 0.0077744947 
35.3000000000 0.0076316775 
35.3500000000 0.0076514999 
35.4000000000 0.0076793292 
35.4400000000 0.0076090505 
35.4900000000 0.0074697279 
35.5400000000 0.0072159342 
35.5800000000 0.0071543277 
35.6300000000 0.0072204875 
35.6800000000 0.0071517847 
35.7200000000 0.0070294639 
35.7700000000 0.0068011748 
35.8200000000 0.0065898475 
35.8600000000 0.0066728199 
35.9100000000 0.0066786972 
35.9600000000 0.0065522445 
36.0000000000 0.0063812111 
36.0500000000 0.0061113977 
36.1000000000 0.0061714821 
36.1400000000 0.0061556693 
36.1900000000 0.0060522051 
36.2400000000 0.0058679232 
36.2800000000 0.0057062383 
36.3300000000 0.0056283341 
36.3800000000 0.0055650691 
36.4200000000 0.0054439934 
36.4700000000 0.0052569688 
36.5200000000 0.0051266236 
36.5600000000 0.0050745416 
36.6100000000 0.0050550249 
36.6600000000 0.0050232689 
36.7000000000 0.0050562290 
36.7500000000 0.0050764061 
36.8000000000 0.0049589886 
36.8400000000 0.0048383311 
36.8900000000 0.0047685741 
36.9400000000 0.0047721922 
36.9800000000 0.0048597473 
37.0300000000 0.0048929781 
37.0800000000 0.0046910024 
37.1200000000 0.0046371371 
37.1700000000 0.0047138464 
37.2200000000 0.0050622479 
37.2600000000 0.0050147821 
37.3100000000 0.0046547093 
37.3600000000 0.0046196760 
37.4000000000 0.0047958768 
37.4500000000 0.0052738764 
37.5000000000 0.0051252655 
37.5400000000 0.0048211706 
37.5900000000 0.0048590770 
37.6400000000 0.0051574788 
37.6800000000 0.0056654240 
37.7300000000 0.0054337060 
37.7800000000 0.0050320740 
37.8200000000 0.0050213777 
37.8700000000 0.0053754888 
37.9200000000 0.0061232170 
37.9600000000 0.0054881522 
38.0100000000 0.0051887293 
