t z 
0.0000000000 1.3224215164 
0.0500000000 1.2061135419 
0.1000000000 1.1370522226 
0.1500000000 1.1070777758 
0.1900000000 1.1038750825 
0.2400000000 1.1158163093 
0.2900000000 1.1369303804 
0.3300000000 1.1561668367 
0.3800000000 1.1794504659 
0.4300000000 1.1982304810 
0.4700000000 1.2090121202 
0.5200000000 1.2172441027 
0.5700000000 1.2193207398 
0.6100000000 1.2158575494 
0.6600000000 1.2036315670 
0.7100000000 1.1857240283 
0.7500000000 1.1676228937 
0.8000000000 1.1405688728 
0.8500000000 1.1080859507 
0.8900000000 1.0792619058 
0.9400000000 1.0400624506 
0.9900000000 0.9977885088 
1.0300000000 0.9633739635 
1.0800000000 0.9188049929 
1.1300000000 0.8724312441 
1.1700000000 0.8343514685 
1.2200000000 0.7874060916 
1.2700000000 0.7419349394 
1.3100000000 0.7052268177 
1.3600000000 0.6592257967 
1.4100000000 0.6141544531 
1.4500000000 0.5805263741 
1.5000000000 0.5389172021 
1.5500000000 0.4980275748 
1.5900000000 0.4660759916 
1.6400000000 0.4289669908 
1.6900000000 0.3934940517 
1.7300000000 0.3660411883 
1.7800000000 0.3329798138 
1.8300000000 0.3023210818 
1.8700000000 0.2793422057 
1.9200000000 0.2519638395 
1.9700000000 0.2261518555 
2.0100000000 0.2068406837 
2.0600000000 0.1847209251 
2.1100000000 0.1642233428 
2.1500000000 0.1489702546 
2.2000000000 0.1312829674 
2.2500000000 0.1152186890 
2.2900000000 0.1035288156 
2.3400000000 0.0902947623 
2.3900000000 0.0786459584 
2.4300000000 0.0703809725 
2.4800000000 0.0614378445 
2.5300000000 0.0540297774 
2.5700000000 0.0492695911 
2.6200000000 0.0445669988 
2.6700000000 0.0411956213 
2.7100000000 0.0393934417 
2.7600000000 0.0380020691 
2.8100000000 0.0373458529 
2.8500000000 0.0372375480 
2.9000000000 0.0373709410 
2.9500000000 0.0376070897 
2.9900000000 0.0377580597 
3.0400000000 0.0381032561 
3.0900000000 0.0383011637 
3.1300000000 0.0383045608 
3.1800000000 0.0380736838 
3.2300000000 0.0378648539 
3.2700000000 0.0376971142 
3.3200000000 0.0372220785 
3.3700000000 0.0364717061 
3.4100000000 0.0358195522 
3.4600000000 0.0352073368 
3.5100000000 0.0343438286 
3.5500000000 0.0334975226 
3.6000000000 0.0322655913 
3.6500000000 0.0312584266 
3.6900000000 0.0302821948 
3.7400000000 0.0289266935 
3.7900000000 0.0274282843 
3.8300000000 0.0264157399 
3.8800000000 0.0251525525 
3.9300000000 0.0238192309 
3.9700000000 0.0227006369 
4.0200000000 0.0213956502 
4.0700000000 0.0202455925 
4.1100000000 0.0192954025 
4.1600000000 0.0181001849 
4.2100000000 0.0169344025 
4.2500000000 0.0161513262 
4.3000000000 0.0151657415 
4.3500000000 0.0142223561 
4.3900000000 0.0135010646 
4.4400000000 0.0126284003 
4.4900000000 0.0118085279 
4.5300000000 0.0112154420 
4.5800000000 0.0105324881 
4.6300000000 0.0099074191 
4.6700000000 0.0093894529 
4.7200000000 0.0088205952 
4.7700000000 0.0084543285 
4.8100000000 0.0081574414 
4.8600000000 0.0075331166 
4.9100000000 0.0070962041 
4.9500000000 0.0069149227 
5.0000000000 0.0069284089 
5.0500000000 0.0063273560 
5.0900000000 0.0060583319 
5.1400000000 0.0059513510 
5.1900000000 0.0061244048 
5.2300000000 0.0058131048 
5.2800000000 0.0054964917 
5.3300000000 0.0055087834 
5.3700000000 0.0057214658 
5.4200000000 0.0057902760 
5.4700000000 0.0054948648 
5.5100000000 0.0054760607 
5.5600000000 0.0056988435 
5.6100000000 0.0059398825 
5.6500000000 0.0056725889 
5.7000000000 0.0056356074 
5.7500000000 0.0058268835 
5.7900000000 0.0062033502 
5.8400000000 0.0059891171 
5.8900000000 0.0058978036 
5.9300000000 0.0059742564 
5.9800000000 0.0062578224 
6.0300000000 0.0062437670 
6.0700000000 0.0061354812 
6.1200000000 0.0061702689 
6.1700000000 0.0063733221 
6.2100000000 0.0065416606 
6.2600000000 0.0063468324 
6.3100000000 0.0063450597 
6.3500000000 0.0064281561 
6.4000000000 0.0067096641 
6.4500000000 0.0064994152 
6.5000000000 0.0064743349 
6.5400000000 0.0064980329 
6.5900000000 0.0066275689 
6.6400000000 0.0065790140 
6.6800000000 0.0065651629 
6.7300000000 0.0065645143 
6.7800000000 0.0066273168 
6.8200000000 0.0066579723 
6.8700000000 0.0066343311 
6.9200000000 0.0066317563 
6.9600000000 0.0066484809 
7.0100000000 0.0067249705 
7.0600000000 0.0066921341 
7.1000000000 0.0066895540 
7.1500000000 0.0066711988 
7.2000000000 0.0067151567 
7.2400000000 0.0066952792 
7.2900000000 0.0067023049 
7.3400000000 0.0066619309 
7.3800000000 0.0066184790 
7.4300000000 0.0066294468 
7.4800000000 0.0066639397 
7.5200000000 0.0066320498 
7.5700000000 0.0065366353 
7.6200000000 0.0065085441 
7.6600000000 0.0065597580 
7.7100000000 0.0065281565 
7.7600000000 0.0064138100 
7.8000000000 0.0063025652 
7.8500000000 0.0063844334 
7.9000000000 0.0063612958 
7.9400000000 0.0062808013 
7.9900000000 0.0061132964 
8.0400000000 0.0061634887 
8.0800000000 0.0061940176 
8.1300000000 0.0060991985 
8.1800000000 0.0059335613 
8.2200000000 0.0059233557 
8.2700000000 0.0059647672 
8.3200000000 0.0058628752 
8.3600000000 0.0057051295 
8.4100000000 0.0055226929 
8.4600000000 0.0055795217 
8.5000000000 0.0055221892 
8.5500000000 0.0053505266 
8.6000000000 0.0051023780 
8.6400000000 0.0051650908 
8.6900000000 0.0051461632 
8.7400000000 0.0050067551 
8.7800000000 0.0048420120 
8.8300000000 0.0048229031 
8.8800000000 0.0048296530 
8.9200000000 0.0047482868 
8.9700000000 0.0045523316 
9.0200000000 0.0044481713 
9.0600000000 0.0044612519 
9.1100000000 0.0043784930 
9.1600000000 0.0042210988 
9.2000000000 0.0040934587 
9.2500000000 0.0041029025 
9.3000000000 0.0040378098 
9.3400000000 0.0038970734 
9.3900000000 0.0037378178 
9.4400000000 0.0037375852 
9.4800000000 0.0037198809 
9.5300000000 0.0036077471 
9.5800000000 0.0034310244 
9.6200000000 0.0034104638 
9.6700000000 0.0034004815 
9.7200000000 0.0033367857 
9.7600000000 0.0032494609 
9.8100000000 0.0031805977 
9.8600000000 0.0031857222 
9.9000000000 0.0031926777 
9.9500000000 0.0031283019 
10.0000000000 0.0030606748 
10.0400000000 0.0030747614 
10.0900000000 0.0030656782 
10.1400000000 0.0029988932 
10.1800000000 0.0029455405 
10.2300000000 0.0029257177 
10.2800000000 0.0029235189 
10.3200000000 0.0028798297 
10.3700000000 0.0028009680 
10.4200000000 0.0027596067 
10.4600000000 0.0027612362 
10.5100000000 0.0027426722 
10.5600000000 0.0026709495 
10.6000000000 0.0026203109 
10.6500000000 0.0026549454 
10.7000000000 0.0026436745 
10.7400000000 0.0025879377 
10.7900000000 0.0025202720 
10.8400000000 0.0025442500 
10.8800000000 0.0025478543 
10.9300000000 0.0025038091 
10.9800000000 0.0024394160 
11.0200000000 0.0024136106 
11.0700000000 0.0024164469 
11.1200000000 0.0023862910 
11.1600000000 0.0023224093 
11.2100000000 0.0022902294 
11.2600000000 0.0022958917 
11.3000000000 0.0022940038 
11.3500000000 0.0022333954 
11.4000000000 0.0021787615 
11.4400000000 0.0021810050 
11.4900000000 0.0021904093 
11.5400000000 0.0021354330 
11.5800000000 0.0020895515 
11.6300000000 0.0020665633 
11.6800000000 0.0020684866 
11.7200000000 0.0020361783 
11.7700000000 0.0019722667 
11.8200000000 0.0019246358 
11.8600000000 0.0019453006 
11.9100000000 0.0019342797 
11.9600000000 0.0018675567 
12.0000000000 0.0017962731 
12.0500000000 0.0018517468 
12.1000000000 0.0018671755 
12.1400000000 0.0018468847 
12.1900000000 0.0017741392 
12.2400000000 0.0018015927 
12.2800000000 0.0018262560 
12.3300000000 0.0017987549 
12.3800000000 0.0016882556 
12.4200000000 0.0016525100 
12.4700000000 0.0016715515 
12.5200000000 0.0016187982 
12.5600000000 0.0015639376 
12.6100000000 0.0014917613 
12.6600000000 0.0015240978 
12.7000000000 0.0015229913 
12.7500000000 0.0014696696 
12.8000000000 0.0014200959 
12.8500000000 0.0014239386 
12.8900000000 0.0013787238 
12.9400000000 0.0013137212 
12.9900000000 0.0012728537 
13.0300000000 0.0012320292 
13.0800000000 0.0012085815 
13.1300000000 0.0011888572 
13.1700000000 0.0011518962 
13.2200000000 0.0010698149 
13.2700000000 0.0009877158 
13.3100000000 0.0009678243 
13.3600000000 0.0009225264 
13.4100000000 0.0008972743 
13.4500000000 0.0008876382 
13.5000000000 0.0009691755 
13.5500000000 0.0010004283 
13.5900000000 0.0010486189 
13.6400000000 0.0010151165 
13.6900000000 0.0010284397 
13.7300000000 0.0011231049 
13.7800000000 0.0012613412 
13.8300000000 0.0012174733 
13.8700000000 0.0011894376 
13.9200000000 0.0013159428 
13.9700000000 0.0015019292 
14.0100000000 0.0017071746 
14.0600000000 0.0015459984 
14.1100000000 0.0016124111 
14.1500000000 0.0017577405 
14.2000000000 0.0021408954 
14.2500000000 0.0018433223 
14.2900000000 0.0018455029 
14.3400000000 0.0020521467 
14.3900000000 0.0024701819 
14.4300000000 0.0023529840 
14.4800000000 0.0022352605 
14.5300000000 0.0023858582 
14.5700000000 0.0026993104 
14.6200000000 0.0028599855 
14.6700000000 0.0026287434 
14.7100000000 0.0026884535 
14.7600000000 0.0030427363 
14.8100000000 0.0033827741 
14.8500000000 0.0030969881 
14.9000000000 0.0029987589 
14.9500000000 0.0032602749 
14.9900000000 0.0037808181 
15.0400000000 0.0035561088 
15.0900000000 0.0034808001 
15.1300000000 0.0036787684 
15.1800000000 0.0042529676 
15.2300000000 0.0042117844 
15.2700000000 0.0040415954 
15.3200000000 0.0041897360 
15.3700000000 0.0046573884 
15.4100000000 0.0050023799 
15.4600000000 0.0046412374 
15.5100000000 0.0047438197 
15.5500000000 0.0050578159 
15.6000000000 0.0058464775 
15.6500000000 0.0053133469 
15.6900000000 0.0052747127 
15.7400000000 0.0055540577 
15.7900000000 0.0062278437 
15.8300000000 0.0059938913 
15.8800000000 0.0057250281 
15.9300000000 0.0059318543 
15.9700000000 0.0063616111 
16.0200000000 0.0065601504 
16.0700000000 0.0062291332 
16.1100000000 0.0062883418 
16.1600000000 0.0066564177 
16.2100000000 0.0070866686 
16.2500000000 0.0067048706 
16.3000000000 0.0066588744 
16.3500000000 0.0069144582 
16.3900000000 0.0073804652 
16.4400000000 0.0071424841 
16.4900000000 0.0070755265 
16.5300000000 0.0072088286 
16.5800000000 0.0076463619 
16.6300000000 0.0076298353 
16.6700000000 0.0074767208 
16.7200000000 0.0075393148 
16.7700000000 0.0078527006 
16.8100000000 0.0081132743 
16.8600000000 0.0078402987 
16.9100000000 0.0078489592 
16.9500000000 0.0079880162 
17.0000000000 0.0084296364 
17.0500000000 0.0081166878 
17.0900000000 0.0080925732 
17.1400000000 0.0081571655 
17.1900000000 0.0084109131 
17.2300000000 0.0083297468 
17.2800000000 0.0082779269 
17.3300000000 0.0082962955 
17.3700000000 0.0083642714 
17.4200000000 0.0084360906 
17.4700000000 0.0084081794 
17.5100000000 0.0084141460 
17.5600000000 0.0084274221 
17.6100000000 0.0085133653 
17.6500000000 0.0084938491 
17.7000000000 0.0085136464 
17.7500000000 0.0084833591 
17.7900000000 0.0085212080 
17.8400000000 0.0085236357 
17.8900000000 0.0085430381 
17.9300000000 0.0085222165 
17.9800000000 0.0084842543 
18.0300000000 0.0085020536 
18.0700000000 0.0085323050 
18.1200000000 0.0085105158 
18.1700000000 0.0084306941 
18.2100000000 0.0083982830 
18.2600000000 0.0084498766 
18.3100000000 0.0084167570 
18.3500000000 0.0083101027 
18.4000000000 0.0081549143 
18.4500000000 0.0082122036 
18.4900000000 0.0082117421 
18.5400000000 0.0080852699 
18.5900000000 0.0078998649 
18.6300000000 0.0079006682 
18.6800000000 0.0079542043 
18.7300000000 0.0078583921 
18.7700000000 0.0076981899 
18.8200000000 0.0075946476 
18.8700000000 0.0075879930 
18.9100000000 0.0075249969 
18.9600000000 0.0073424441 
19.0100000000 0.0071892907 
19.0500000000 0.0071986110 
19.1000000000 0.0071047218 
19.1500000000 0.0069156895 
19.2000000000 0.0066928377 
19.2400000000 0.0067085055 
19.2900000000 0.0066880494 
19.3400000000 0.0065141783 
19.3800000000 0.0063442061 
19.4300000000 0.0063008803 
19.4800000000 0.0062751193 
19.5200000000 0.0061789387 
19.5700000000 0.0059994178 
19.6200000000 0.0058802488 
19.6600000000 0.0058290831 
19.7100000000 0.0057332324 
19.7600000000 0.0055852566 
19.8000000000 0.0054637823 
19.8500000000 0.0053685341 
19.9000000000 0.0053258928 
19.9400000000 0.0052473789 
19.9900000000 0.0051834330 
20.0400000000 0.0050989376 
20.0800000000 0.0050443621 
20.1300000000 0.0049835565 
20.1800000000 0.0049615280 
20.2200000000 0.0049166638 
20.2700000000 0.0047791733 
20.3200000000 0.0048126881 
20.3600000000 0.0048558665 
20.4100000000 0.0048520555 
20.4600000000 0.0046432817 
20.5000000000 0.0045496851 
20.5500000000 0.0045789468 
20.6000000000 0.0047722738 
20.6400000000 0.0045655327 
20.6900000000 0.0044402206 
20.7400000000 0.0045217365 
20.7800000000 0.0047333312 
20.8300000000 0.0046384802 
20.8800000000 0.0044493500 
20.9200000000 0.0044809060 
20.9700000000 0.0048019639 
21.0200000000 0.0049274588 
21.0600000000 0.0046229779 
21.1100000000 0.0046096734 
21.1600000000 0.0049747123 
21.2000000000 0.0055106901 
21.2500000000 0.0049280654 
21.3000000000 0.0048755327 
21.3400000000 0.0051373754 
21.3900000000 0.0058133717 
21.4400000000 0.0054911864 
21.4800000000 0.0053337806 
21.5300000000 0.0055462637 
21.5800000000 0.0062144456 
21.6200000000 0.0062728121 
21.6700000000 0.0058415733 
21.7200000000 0.0059773692 
21.7600000000 0.0064461647 
21.8100000000 0.0069855641 
21.8600000000 0.0063789408 
21.9000000000 0.0063310850 
21.9500000000 0.0067361512 
22.0000000000 0.0076137130 
22.0400000000 0.0069515052 
22.0900000000 0.0067705735 
22.1400000000 0.0070740455 
22.1800000000 0.0076766303 
22.2300000000 0.0075692525 
22.2800000000 0.0072770453 
22.3200000000 0.0073933914 
22.3700000000 0.0079257383 
22.4200000000 0.0081725474 
22.4600000000 0.0078337897 
22.5100000000 0.0078720957 
22.5600000000 0.0083034526 
22.6000000000 0.0089872654 
22.6500000000 0.0084170940 
22.7000000000 0.0083556700 
22.7400000000 0.0085454663 
22.7900000000 0.0091807644 
22.8400000000 0.0088953020 
22.8800000000 0.0087791098 
22.9300000000 0.0089042491 
22.9800000000 0.0093421918 
23.0200000000 0.0093783807 
23.0700000000 0.0091710891 
23.1200000000 0.0092171199 
23.1600000000 0.0093979488 
23.2100000000 0.0097007212 
23.2600000000 0.0094702914 
23.3000000000 0.0094633241 
23.3500000000 0.0095581297 
23.4000000000 0.0098894197 
23.4400000000 0.0096907148 
23.4900000000 0.0096652145 
23.5400000000 0.0096935704 
23.5800000000 0.0097989479 
23.6300000000 0.0098062797 
23.6800000000 0.0097879809 
23.7200000000 0.0097755998 
23.7700000000 0.0097670777 
23.8200000000 0.0097976409 
23.8600000000 0.0098089555 
23.9100000000 0.0097891298 
23.9600000000 0.0097162859 
24.0000000000 0.0096961615 
24.0500000000 0.0097430915 
24.1000000000 0.0097471115 
24.1400000000 0.0096592384 
24.1900000000 0.0095117419 
24.2400000000 0.0095699575 
24.2800000000 0.0096197334 
24.3300000000 0.0095156991 
24.3800000000 0.0092967771 
24.4200000000 0.0092659800 
24.4700000000 0.0093651803 
24.5200000000 0.0092742346 
24.5600000000 0.0090764080 
24.6100000000 0.0088550596 
24.6600000000 0.0089892227 
24.7000000000 0.0089662021 
24.7500000000 0.0087379815 
24.8000000000 0.0083737403 
24.8400000000 0.0085102657 
24.8900000000 0.0084980114 
24.9400000000 0.0082902059 
24.9800000000 0.0079864532 
25.0300000000 0.0079514731 
25.0800000000 0.0079783252 
25.1200000000 0.0078616797 
25.1700000000 0.0075436685 
25.2200000000 0.0073573134 
25.2600000000 0.0073908776 
25.3100000000 0.0072737308 
25.3600000000 0.0069688954 
25.4000000000 0.0066775047 
25.4500000000 0.0067248663 
25.5000000000 0.0066177309 
25.5500000000 0.0063263907 
25.5900000000 0.0060360045 
25.6400000000 0.0060078083 
25.6900000000 0.0059705887 
25.7300000000 0.0058293174 
25.7800000000 0.0055922106 
25.8300000000 0.0055072928 
25.8700000000 0.0054902181 
25.9200000000 0.0053510189 
25.9700000000 0.0051350774 
26.0100000000 0.0049620059 
26.0600000000 0.0049051399 
26.1100000000 0.0048047913 
26.1500000000 0.0046637700 
26.2000000000 0.0044495876 
26.2500000000 0.0043150670 
26.2900000000 0.0042006357 
26.3400000000 0.0040383918 
26.3900000000 0.0038931265 
26.4300000000 0.0037636095 
26.4800000000 0.0036118787 
26.5300000000 0.0035207190 
26.5700000000 0.0034424120 
26.6200000000 0.0033280177 
26.6700000000 0.0031265811 
26.7100000000 0.0030764084 
26.7600000000 0.0030622773 
26.8100000000 0.0030553505 
26.8500000000 0.0029107034 
26.9000000000 0.0027169859 
26.9500000000 0.0026675892 
26.9900000000 0.0027429119 
27.0400000000 0.0025015964 
27.0900000000 0.0023327972 
27.1300000000 0.0023315619 
27.1800000000 0.0024566198 
27.2300000000 0.0023063314 
27.2700000000 0.0021610759 
27.3200000000 0.0021437151 
27.3700000000 0.0023922638 
27.4100000000 0.0025219465 
27.4600000000 0.0022253653 
27.5100000000 0.0021988556 
27.5500000000 0.0023083449 
27.6000000000 0.0026131456 
27.6500000000 0.0022601995 
27.6900000000 0.0021946259 
27.7400000000 0.0022753717 
27.7900000000 0.0025774948 
27.8300000000 0.0024161699 
27.8800000000 0.0022693156 
27.9300000000 0.0023327011 
27.9700000000 0.0025513931 
28.0200000000 0.0026417083 
28.0700000000 0.0024798277 
28.1100000000 0.0024968333 
28.1600000000 0.0026846847 
28.2100000000 0.0029163856 
28.2500000000 0.0027392214 
28.3000000000 0.0026920192 
28.3500000000 0.0028284859 
28.3900000000 0.0030669681 
28.4400000000 0.0029478170 
28.4900000000 0.0028881447 
28.5300000000 0.0029570954 
28.5800000000 0.0031715558 
28.6300000000 0.0031211974 
28.6700000000 0.0030433470 
28.7200000000 0.0030640340 
28.7700000000 0.0031718911 
28.8100000000 0.0032701257 
28.8600000000 0.0031608119 
28.9100000000 0.0031676707 
28.9500000000 0.0032246919 
29.0000000000 0.0033988794 
29.0500000000 0.0032871360 
29.0900000000 0.0032771639 
29.1400000000 0.0033182889 
29.1900000000 0.0034432667 
29.2300000000 0.0034068383 
29.2800000000 0.0033759789 
29.3300000000 0.0033938577 
29.3700000000 0.0034344899 
29.4200000000 0.0034642676 
29.4700000000 0.0034388667 
29.5100000000 0.0034395041 
29.5600000000 0.0034526937 
29.6100000000 0.0034993369 
29.6500000000 0.0034804293 
29.7000000000 0.0034873726 
29.7500000000 0.0034859776 
29.7900000000 0.0035068746 
29.8400000000 0.0035110126 
29.8900000000 0.0035275498 
29.9300000000 0.0035145159 
29.9800000000 0.0034663847 
30.0300000000 0.0034628828 
30.0700000000 0.0034717270 
30.1200000000 0.0034479295 
30.1700000000 0.0033840417 
30.2100000000 0.0033745823 
30.2600000000 0.0033975141 
30.3100000000 0.0033751164 
30.3500000000 0.0033436564 
30.4000000000 0.0033618374 
30.4500000000 0.0033376616 
30.4900000000 0.0033297513 
30.5400000000 0.0033179345 
30.5900000000 0.0033680463 
30.6300000000 0.0033664252 
30.6800000000 0.0033532513 
30.7300000000 0.0033787299 
30.7700000000 0.0034336855 
30.8200000000 0.0035191552 
30.8700000000 0.0034952690 
30.9100000000 0.0035135026 
30.9600000000 0.0036160326 
31.0100000000 0.0037734082 
31.0500000000 0.0036866873 
31.1000000000 0.0036863725 
31.1500000000 0.0037616550 
31.1900000000 0.0039108695 
31.2400000000 0.0038625712 
31.2900000000 0.0038498165 
31.3300000000 0.0038833335 
31.3800000000 0.0040127769 
31.4300000000 0.0040130080 
31.4700000000 0.0039621357 
31.5200000000 0.0039602269 
31.5700000000 0.0040110978 
31.6100000000 0.0040696993 
31.6600000000 0.0040185089 
31.7100000000 0.0040147819 
31.7500000000 0.0040224701 
31.8000000000 0.0041054330 
31.8500000000 0.0040534959 
31.9000000000 0.0040526973 
31.9400000000 0.0040548293 
31.9900000000 0.0041388529 
32.0400000000 0.0041070291 
32.0800000000 0.0040996082 
32.1300000000 0.0040966694 
32.1800000000 0.0041354313 
32.2200000000 0.0041540727 
32.2700000000 0.0041409887 
32.3200000000 0.0041458790 
32.3600000000 0.0041593488 
32.4100000000 0.0042277908 
32.4600000000 0.0042065706 
32.5000000000 0.0042167717 
32.5500000000 0.0042489199 
32.6000000000 0.0043771204 
32.6400000000 0.0042876230 
32.6900000000 0.0042739893 
32.7400000000 0.0043006121 
32.7800000000 0.0043858496 
32.8300000000 0.0043826296 
32.8800000000 0.0043313234 
32.9200000000 0.0043365763 
32.9700000000 0.0043769756 
33.0200000000 0.0044215212 
33.0600000000 0.0043750584 
33.1100000000 0.0043662566 
33.1600000000 0.0044137756 
33.2000000000 0.0045505526 
33.2500000000 0.0044726573 
33.3000000000 0.0044959939 
33.3400000000 0.0045485767 
33.3900000000 0.0047093963 
33.4400000000 0.0046497216 
33.4800000000 0.0046317324 
33.5300000000 0.0046769071 
33.5800000000 0.0048532533 
33.6200000000 0.0048751673 
33.6700000000 0.0047912344 
33.7200000000 0.0048328691 
33.7600000000 0.0049460658 
33.8100000000 0.0051283167 
33.8600000000 0.0049460311 
33.9000000000 0.0049444577 
33.9500000000 0.0050050403 
34.0000000000 0.0052223603 
34.0400000000 0.0050602544 
34.0900000000 0.0050224466 
34.1400000000 0.0050648231 
34.1800000000 0.0051558493 
34.2300000000 0.0051387516 
34.2800000000 0.0050782008 
34.3200000000 0.0050894058 
34.3700000000 0.0051519789 
34.4200000000 0.0051818842 
34.4600000000 0.0051251446 
34.5100000000 0.0050917952 
34.5600000000 0.0051268258 
34.6000000000 0.0052228362 
34.6500000000 0.0051313940 
34.7000000000 0.0051122418 
34.7400000000 0.0050886466 
34.7900000000 0.0051345618 
34.8400000000 0.0051176062 
34.8800000000 0.0051084649 
34.9300000000 0.0050910697 
34.9800000000 0.0050983507 
35.0200000000 0.0051056089 
35.0700000000 0.0050638156 
35.1200000000 0.0050505016 
35.1600000000 0.0050498527 
35.2100000000 0.0050645242 
35.2600000000 0.0050437472 
35.3000000000 0.0050486821 
35.3500000000 0.0050454206 
35.4000000000 0.0050601609 
35.4400000000 0.0050471069 
35.4900000000 0.0050455210 
35.5400000000 0.0050013592 
35.5800000000 0.0049428693 
35.6300000000 0.0049329979 
35.6800000000 0.0049429563 
35.7200000000 0.0049329042 
35.7700000000 0.0048672928 
35.8200000000 0.0048249316 
35.8600000000 0.0048502027 
35.9100000000 0.0048212366 
35.9600000000 0.0047230287 
36.0000000000 0.0046077736 
36.0500000000 0.0046721008 
36.1000000000 0.0046983722 
36.1400000000 0.0046692311 
36.1900000000 0.0045729940 
36.2400000000 0.0045574378 
36.2800000000 0.0045422851 
36.3300000000 0.0044904454 
36.3800000000 0.0043491995 
36.4200000000 0.0042869745 
36.4700000000 0.0042895927 
36.5200000000 0.0042626767 
36.5600000000 0.0042533380 
36.6100000000 0.0041848838 
36.6600000000 0.0041194992 
36.7000000000 0.0040956163 
36.7500000000 0.0041496563 
36.8000000000 0.0042137679 
36.8400000000 0.0041229283 
36.8900000000 0.0040511492 
36.9400000000 0.0040759215 
36.9800000000 0.0041960620 
37.0300000000 0.0041121938 
37.0800000000 0.0040331735 
37.1200000000 0.0041361525 
37.1700000000 0.0043745499 
37.2200000000 0.0044391291 
37.2600000000 0.0042203062 
37.3100000000 0.0041806767 
37.3600000000 0.0044289395 
37.4000000000 0.0048014259 
37.4500000000 0.0042705444 
37.5000000000 0.0041322225 
37.5400000000 0.0042481234 
37.5900000000 0.0047574019 
37.6400000000 0.0044344858 
37.6800000000 0.0042560571 
37.7300000000 0.0043744641 
37.7800000000 0.0048727893 
37.8200000000 0.0048797946 
37.8700000000 0.0045361378 
37.9200000000 0.0046868866 
37.9600000000 0.0051204987 
38.0100000000 0.0056005826 
