t rho_s 
0.0100000000 -0.5080979270 
0.0300000000 -0.2629320513 
0.0500000000 -0.0950757143 
0.0700000000 0.0354620012 
0.0900000000 -0.3676078245 
0.1100000000 -0.1967975971 
0.1300000000 -0.0701027799 
0.1500000000 0.0329837204 
0.1700000000 -0.3972798233 
0.1900000000 -0.2485195862 
0.2100000000 -0.1384540229 
0.2300000000 -0.0512162940 
0.2500000000 0.0218399028 
0.2700000000 -0.4522880148 
0.2900000000 -0.3253932059 
0.3100000000 -0.2341167991 
0.3300000000 -0.1601432834 
0.3500000000 -0.0974876638 
0.3700000000 -0.0442711105 
0.3900000000 0.0027459974 
0.4100000000 -0.5340181538 
0.4300000000 -0.4338129233 
0.4500000000 -0.3592630425 
0.4700000000 -0.2995173085 
0.4900000000 -0.2496370449 
0.5100000000 -0.2056128054 
0.5300000000 -0.1664500120 
0.5500000000 -0.1310309285 
0.5700000000 -0.0996510030 
0.5900000000 -0.0716932430 
0.6100000000 -0.0450722695 
0.6300000000 -0.0203355685 
0.6500000000 0.0029461445 
0.6700000000 -0.6208185259 
0.6900000000 -0.5433059457 
0.7100000000 -0.4840480095 
0.7300000000 -0.4335954012 
0.7500000000 -0.3916251988 
0.7700000000 -0.3512448154 
0.7900000000 -0.3134387207 
0.8100000000 -0.2780586991 
0.8300000000 -0.2444013996 
0.8500000000 -0.2116265686 
0.8700000000 -0.1799075610 
0.8900000000 -0.1506567714 
0.9100000000 -0.1202828303 
0.9300000000 -0.0922005491 
0.9500000000 -0.0638965451 
0.9700000000 -0.0345847028 
0.9900000000 -0.0070551794 
1.0100000000 -0.5956338142 
1.0300000000 -0.4959610347 
1.0500000000 -0.4263869516 
1.0700000000 -0.3664765199 
1.0900000000 -0.3114939020 
1.1100000000 -0.2624619400 
1.1300000000 -0.2168827935 
1.1500000000 -0.1733277828 
1.1700000000 -0.1332853726 
1.1900000000 -0.0938031954 
1.2100000000 -0.0579121098 
1.2300000000 -0.0216661669 
1.2500000000 0.0127546449 
1.2700000000 -0.4683024092 
1.2900000000 -0.3902958628 
1.3100000000 -0.3245660185 
1.3300000000 -0.2705507847 
1.3500000000 -0.2186433523 
1.3700000000 -0.1725084819 
1.3900000000 -0.1312832281 
1.4100000000 -0.0904344540 
1.4300000000 -0.0538153221 
1.4500000000 -0.0182002628 
1.4700000000 0.0168737607 
1.4900000000 -0.4219424302 
1.5100000000 -0.3452065932 
1.5300000000 -0.2858091505 
1.5500000000 -0.2330572017 
1.5700000000 -0.1871730536 
1.5900000000 -0.1454672364 
1.6100000000 -0.1054321691 
1.6300000000 -0.0691340093 
1.6500000000 -0.0354369223 
1.6700000000 -0.0024350043 
1.6900000000 -0.4390634482 
1.7100000000 -0.3519043981 
1.7300000000 -0.2890072898 
1.7500000000 -0.2392325085 
1.7700000000 -0.1936687496 
1.7900000000 -0.1534746670 
1.8100000000 -0.1163401953 
1.8300000000 -0.0828760876 
1.8500000000 -0.0520573488 
1.8700000000 -0.0218673837 
1.8900000000 0.0051535197 
1.9100000000 -0.3602895388 
1.9300000000 -0.2986224714 
1.9500000000 -0.2467356359 
1.9700000000 -0.2056420323 
1.9900000000 -0.1694534382 
2.0100000000 -0.1352947081 
2.0300000000 -0.1068592949 
2.0500000000 -0.0777742466 
2.0700000000 -0.0500374026 
2.0900000000 -0.0252369102 
2.1100000000 -0.0025110970 
2.1300000000 -0.3794230947 
2.1500000000 -0.3110923667 
2.1700000000 -0.2648638518 
2.1900000000 -0.2258238771 
2.2100000000 -0.1915919833 
2.2300000000 -0.1604956276 
2.2500000000 -0.1316128587 
2.2700000000 -0.1047977670 
2.2900000000 -0.0826727044 
2.3100000000 -0.0608001543 
2.3300000000 -0.0375502807 
2.3500000000 -0.0197512930 
2.3700000000 -0.0003768529 
2.3900000000 -0.3656485405 
2.4100000000 -0.3085688096 
2.4300000000 -0.2636255560 
2.4500000000 -0.2289540670 
2.4700000000 -0.1977729966 
2.4900000000 -0.1730061885 
2.5100000000 -0.1478733836 
2.5300000000 -0.1254553934 
2.5500000000 -0.1026890309 
2.5700000000 -0.0836199531 
2.5900000000 -0.0646195744 
2.6100000000 -0.0486740397 
2.6300000000 -0.0311860654 
2.6500000000 -0.0151027516 
2.6700000000 -0.0007891321 
2.6900000000 -0.3691500345 
2.7100000000 -0.3116451704 
2.7300000000 -0.2732141193 
2.7500000000 -0.2391274239 
2.7700000000 -0.2097284233 
2.7900000000 -0.1866890968 
2.8100000000 -0.1639057808 
2.8300000000 -0.1426615754 
2.8500000000 -0.1237158293 
2.8700000000 -0.1054340696 
2.8900000000 -0.0874349996 
2.9100000000 -0.0702253405 
2.9300000000 -0.0549604300 
2.9500000000 -0.0405141316 
2.9700000000 -0.0236945060 
2.9900000000 -0.0113168363 
3.0100000000 0.0031138919 
3.0300000000 -0.3300511372 
3.0500000000 -0.2908785845 
3.0700000000 -0.2548513638 
3.0900000000 -0.2279078991 
3.1100000000 -0.2004307390 
3.1300000000 -0.1758782500 
3.1500000000 -0.1573763833 
3.1700000000 -0.1357490149 
3.1900000000 -0.1168901793 
3.2100000000 -0.0994071308 
3.2300000000 -0.0812718285 
3.2500000000 -0.0648978303 
3.2700000000 -0.0491301631 
3.2900000000 -0.0327744191 
3.3100000000 -0.0181072777 
3.3300000000 -0.0038904025 
3.3500000000 -0.3699122606 
3.3700000000 -0.3109485363 
3.3900000000 -0.2715963077 
3.4100000000 -0.2390594310 
3.4300000000 -0.2120067728 
3.4500000000 -0.1844523729 
3.4700000000 -0.1638359603 
3.4900000000 -0.1403285827 
3.5100000000 -0.1223820496 
3.5300000000 -0.1015483519 
3.5500000000 -0.0838046476 
3.5700000000 -0.0668512376 
3.5900000000 -0.0505458490 
3.6100000000 -0.0331463037 
3.6300000000 -0.0177911325 
3.6500000000 -0.0019764688 
3.6700000000 -0.3542670047 
3.6900000000 -0.3042994802 
3.7100000000 -0.2665978612 
3.7300000000 -0.2343912858 
3.7500000000 -0.2036331333 
3.7700000000 -0.1784533997 
3.7900000000 -0.1525381467 
3.8100000000 -0.1311441331 
3.8300000000 -0.1096580318 
3.8500000000 -0.0907143083 
3.8700000000 -0.0726881800 
3.8900000000 -0.0548503048 
3.9100000000 -0.0383432273 
3.9300000000 -0.0224601415 
3.9500000000 -0.0046291822 
3.9700000000 -0.3522472131 
3.9900000000 -0.2991150157 
4.0100000000 -0.2594660113 
4.0300000000 -0.2244005829 
4.0500000000 -0.1960510113 
4.0700000000 -0.1702039208 
4.0900000000 -0.1437916205 
4.1100000000 -0.1219319303 
4.1300000000 -0.1015048568 
4.1500000000 -0.0809524961 
4.1700000000 -0.0625972112 
4.1900000000 -0.0439518070 
4.2100000000 -0.0262883424 
4.2300000000 -0.0110843372 
4.2500000000 0.0064201139 
4.2700000000 -0.3193272584 
4.2900000000 -0.2707838419 
4.3100000000 -0.2357379088 
4.3300000000 -0.2058325392 
4.3500000000 -0.1745882533 
4.3700000000 -0.1517778090 
4.3900000000 -0.1256124299 
4.4100000000 -0.1046910269 
4.4300000000 -0.0826706340 
4.4500000000 -0.0630716603 
4.4700000000 -0.0443594788 
4.4900000000 -0.0273499101 
4.5100000000 -0.0090760708 
