t rho_s 
8.0000000000 0.0042017151 
8.0100000000 -0.3694233133 
8.0200000000 -0.3489411851 
8.0300000000 -0.3365986792 
8.0400000000 -0.3200300523 
8.0500000000 -0.3014758756 
8.0600000000 -0.2931144677 
8.0700000000 -0.2793562707 
8.0800000000 -0.2721239728 
8.0900000000 -0.2608972999 
8.1000000000 -0.2496195648 
8.1100000000 -0.2434452999 
8.1200000000 -0.2336136829 
8.1300000000 -0.2272643613 
8.1400000000 -0.2181146920 
8.1500000000 -0.2086426658 
8.1600000000 -0.2035358973 
8.1700000000 -0.1945505522 
8.1800000000 -0.1897362276 
8.1900000000 -0.1811703841 
8.2000000000 -0.1766057248 
8.2100000000 -0.1684057692 
8.2200000000 -0.1633487105 
8.2300000000 -0.1561798879 
8.2400000000 -0.1513162231 
8.2500000000 -0.1444305537 
8.2600000000 -0.1397396411 
8.2700000000 -0.1324013032 
8.2800000000 -0.1285713080 
8.2900000000 -0.1214697771 
8.3000000000 -0.1170612578 
8.3100000000 -0.1108715437 
8.3200000000 -0.1065942208 
8.3300000000 -0.0998931789 
8.3400000000 -0.0957310042 
8.3500000000 -0.0899140288 
8.3600000000 -0.0858116220 
8.3700000000 -0.0817948859 
8.3800000000 -0.0755100359 
8.3900000000 -0.0722802225 
8.4000000000 -0.0673967937 
8.4100000000 -0.0634831022 
8.4200000000 -0.0596834388 
8.4300000000 -0.0543888521 
8.4400000000 -0.0506780778 
8.4500000000 -0.0447434246 
8.4600000000 -0.0411163953 
8.4700000000 -0.0375175489 
8.4800000000 -0.0336327332 
8.4900000000 -0.0299784866 
8.5000000000 -0.0264739998 
8.5100000000 -0.0209679468 
8.5200000000 -0.0174042349 
8.5300000000 -0.0139989972 
8.5400000000 -0.0122908031 
8.5500000000 -0.0068098972 
8.5600000000 -0.0034880759 
8.5700000000 -0.0001900207 
8.5800000000 0.0051387378 
8.5900000000 -0.3774990116 
8.6000000000 -0.3632836013 
8.6100000000 -0.3485074984 
8.6200000000 -0.3300395669 
8.6300000000 -0.3234877356 
8.6400000000 -0.3127140364 
8.6500000000 -0.3039710513 
8.6600000000 -0.2917538751 
8.6700000000 -0.2842647182 
8.6800000000 -0.2756325574 
8.6900000000 -0.2687486823 
8.7000000000 -0.2598175719 
8.7100000000 -0.2522992033 
8.7200000000 -0.2462253078 
8.7300000000 -0.2412140892 
8.7400000000 -0.2312368408 
8.7500000000 -0.2246227199 
8.7600000000 -0.2193174825 
8.7700000000 -0.2144374493 
8.7800000000 -0.2093936842 
8.7900000000 -0.1999119316 
8.8000000000 -0.1963834984 
8.8100000000 -0.1906377126 
8.8200000000 -0.1860744330 
8.8300000000 -0.1784458672 
8.8400000000 -0.1730647972 
8.8500000000 -0.1697738959 
8.8600000000 -0.1645557252 
8.8700000000 -0.1598947585 
8.8800000000 -0.1562566997 
8.8900000000 -0.1494196097 
8.9000000000 -0.1439850142 
8.9100000000 -0.1405067919 
8.9200000000 -0.1361791688 
8.9300000000 -0.1327807360 
8.9400000000 -0.1285419266 
8.9500000000 -0.1207500080 
8.9600000000 -0.1174862162 
8.9700000000 -0.1134204421 
8.9800000000 -0.1102217110 
8.9900000000 -0.1062350181 
9.0000000000 -0.1019697814 
9.0100000000 -0.0982434596 
9.0200000000 -0.0950053014 
9.0300000000 -0.0889316903 
9.0400000000 -0.0848702906 
9.0500000000 -0.0821858909 
9.0600000000 -0.0781968826 
9.0700000000 -0.0746399140 
9.0800000000 -0.0710272349 
9.0900000000 -0.0681262808 
9.1000000000 -0.0636744872 
9.1100000000 -0.0598673602 
9.1200000000 -0.0573339837 
9.1300000000 -0.0529979844 
9.1400000000 -0.0501995386 
9.1500000000 -0.0477213538 
9.1600000000 -0.0440593674 
9.1700000000 -0.0407312755 
9.1800000000 -0.0371281075 
9.1900000000 -0.0347254341 
9.2000000000 -0.0311738271 
9.2100000000 -0.0279293016 
9.2200000000 -0.0238849354 
9.2300000000 -0.0221010636 
9.2400000000 -0.0181130211 
9.2500000000 -0.0154869110 
9.2600000000 -0.0115626337 
9.2700000000 -0.0098256592 
9.2800000000 -0.0067157709 
9.2900000000 -0.0028730285 
9.3000000000 -0.0003124233 
9.3100000000 0.0034699718 
9.3200000000 -0.3730464570 
9.3300000000 -0.3615332419 
9.3400000000 -0.3489242421 
9.3500000000 -0.3364399097 
9.3600000000 -0.3257627719 
9.3700000000 -0.3184430941 
9.3800000000 -0.3092350486 
9.3900000000 -0.3004528463 
9.4000000000 -0.2914032514 
9.4100000000 -0.2834907999 
9.4200000000 -0.2791215839 
9.4300000000 -0.2717182559 
9.4400000000 -0.2639052276 
9.4500000000 -0.2570707713 
9.4600000000 -0.2504412999 
9.4700000000 -0.2440030409 
9.4800000000 -0.2442474558 
9.4900000000 -0.2373702877 
9.5000000000 -0.2313269096 
9.5100000000 -0.2254309142 
9.5200000000 -0.2196736477 
9.5300000000 -0.2140470633 
9.5400000000 -0.2105898837 
9.5500000000 -0.2051740454 
9.5600000000 -0.1998668945 
9.5700000000 -0.1946629969 
9.5800000000 -0.1895572712 
9.5900000000 -0.1845449711 
9.6000000000 -0.1791781103 
9.6100000000 -0.1764593436 
9.6200000000 -0.1716820874 
9.6300000000 -0.1669813970 
9.6400000000 -0.1623541154 
9.6500000000 -0.1576519409 
9.6600000000 -0.1527768668 
9.6700000000 -0.1509780940 
9.6800000000 -0.1485817520 
9.6900000000 -0.1440298442 
9.7000000000 -0.1397312204 
9.7100000000 -0.1354890304 
9.7200000000 -0.1313013355 
9.7300000000 -0.1266017483 
9.7400000000 -0.1225297802 
9.7500000000 -0.1185060050 
9.7600000000 -0.1163218104 
9.7700000000 -0.1121042167 
9.7800000000 -0.1081955322 
9.7900000000 -0.1066428482 
9.8000000000 -0.1025132742 
9.8100000000 -0.0987048119 
9.8200000000 -0.0946776243 
9.8300000000 -0.0906690404 
9.8400000000 -0.0869871186 
9.8500000000 -0.0849868636 
9.8600000000 -0.0810591761 
9.8700000000 -0.0774660915 
9.8800000000 -0.0760368261 
9.8900000000 -0.0721903708 
9.9000000000 -0.0686774436 
9.9100000000 -0.0651957429 
9.9200000000 -0.0617446248 
9.9300000000 -0.0580291468 
9.9400000000 -0.0561638018 
9.9500000000 -0.0545164944 
9.9600000000 -0.0511524641 
9.9700000000 -0.0478159278 
9.9800000000 -0.0442199081 
9.9900000000 -0.0409396620 
10.0000000000 -0.0376852613 
10.0100000000 -0.0359692618 
10.0200000000 -0.0328842069 
10.0300000000 -0.0296926674 
10.0400000000 -0.0276878900 
10.0500000000 -0.0245329160 
10.0600000000 -0.0231624099 
10.0700000000 -0.0198832369 
10.0800000000 -0.0167870947 
10.0900000000 -0.0137131205 
10.1000000000 -0.0106610675 
10.1100000000 -0.0091743985 
10.1200000000 -0.0061560628 
10.1300000000 -0.0045219198 
10.1400000000 -0.0012982183 
10.1500000000 0.0016671834 
10.1600000000 -0.3772865990 
10.1700000000 -0.3606824906 
10.1800000000 -0.3467970307 
10.1900000000 -0.3354348537 
10.2000000000 -0.3230850053 
10.2100000000 -0.3162877768 
10.2200000000 -0.3122960665 
10.2300000000 -0.3034397461 
10.2400000000 -0.2935045882 
10.2500000000 -0.2844642715 
10.2600000000 -0.2806424128 
10.2700000000 -0.2719960992 
10.2800000000 -0.2650420531 
10.2900000000 -0.2617420186 
10.3000000000 -0.2529401182 
10.3100000000 -0.2498410346 
10.3200000000 -0.2436103135 
10.3300000000 -0.2375197877 
10.3400000000 -0.2304973938 
10.3500000000 -0.2276198190 
10.3600000000 -0.2219142371 
10.3700000000 -0.2181924335 
10.3800000000 -0.2127287693 
10.3900000000 -0.2073659698 
10.4000000000 -0.2011304098 
10.4100000000 -0.1985240154 
10.4200000000 -0.1961391748 
10.4300000000 -0.1901457471 
10.4400000000 -0.1852336472 
10.4500000000 -0.1803979257 
10.4600000000 -0.1779549363 
10.4700000000 -0.1723474283 
10.4800000000 -0.1702118870 
10.4900000000 -0.1656195248 
10.5000000000 -0.1602530700 
10.5100000000 -0.1579577058 
10.5200000000 -0.1535470328 
10.5300000000 -0.1507325111 
10.5400000000 -0.1465776339 
10.5500000000 -0.1443654756 
10.5600000000 -0.1401327690 
10.5700000000 -0.1351750441 
10.5800000000 -0.1310698535 
10.5900000000 -0.1311945024 
10.6000000000 -0.1263633865 
10.6100000000 -0.1223687269 
10.6200000000 -0.1184639650 
10.6300000000 -0.1156339791 
10.6400000000 -0.1139334405 
10.6500000000 -0.1100781545 
10.6600000000 -0.1055384833 
10.6700000000 -0.1035303998 
10.6800000000 -0.0997851964 
10.6900000000 -0.0981752771 
10.7000000000 -0.0937810147 
10.7100000000 -0.0918303873 
10.7200000000 -0.0882099650 
10.7300000000 -0.0839038606 
10.7400000000 -0.0840252657 
10.7500000000 -0.0804805082 
10.7600000000 -0.0762814498 
10.7700000000 -0.0728179151 
10.7800000000 -0.0728986065 
10.7900000000 -0.0687748126 
10.8000000000 -0.0653795926 
10.8100000000 -0.0635458142 
10.8200000000 -0.0614083491 
10.8300000000 -0.0580788193 
10.8400000000 -0.0562812720 
10.8500000000 -0.0523214495 
10.8600000000 -0.0490730568 
10.8700000000 -0.0491483871 
10.8800000000 -0.0452531590 
10.8900000000 -0.0420642245 
10.9000000000 -0.0403221100 
10.9100000000 -0.0383088641 
10.9200000000 -0.0351773685 
10.9300000000 -0.0328028399 
10.9400000000 -0.0315323607 
10.9500000000 -0.0284070435 
10.9600000000 -0.0260671282 
10.9700000000 -0.0230315241 
10.9800000000 -0.0231601302 
