t q1 q2 q3 q4 q5 
0.0000000100 1.3224215164 1.3224215164 1.3224215164 1.3224215164 1.3224215164 
0.0100000000 1.2951550390 1.2951398903 1.2951169942 1.2950284362 1.2949662758 
0.0200000000 1.2699921207 1.2699567490 1.2699148664 1.2697973232 1.2695156818 
0.0300000000 1.2468664254 1.2468185546 1.2467677223 1.2465492338 1.2463069445 
0.0400000000 1.2257637446 1.2256927419 1.2256237099 1.2253895449 1.2250666543 
0.0500000000 1.2066344745 1.2065354535 1.2064501909 1.2061401158 1.2057546426 
0.0600000000 1.1894236393 1.1893027830 1.1891986279 1.1888499060 1.1884203467 
0.0700000000 1.1740413917 1.1739082401 1.1737889527 1.1733766980 1.1728852202 
0.0800000000 1.1604260206 1.1602860306 1.1601415331 1.1597001412 1.1592011686 
0.0900000000 1.1485143710 1.1483649933 1.1482150993 1.1477211847 1.1472029777 
0.1000000000 1.1382217582 1.1380642518 1.1379024579 1.1373968607 1.1368669690 
0.1100000000 1.1294591846 1.1292911943 1.1291287510 1.1286173261 1.1280642131 
0.1200000000 1.1221496896 1.1219724609 1.1218102952 1.1213005365 1.1207247102 
0.1300000000 1.1161986718 1.1160150071 1.1158503031 1.1153373856 1.1147562016 
0.1400000000 1.1115133769 1.1113273820 1.1111627234 1.1106469091 1.1100804011 
0.1500000000 1.1080045536 1.1078182803 1.1076570827 1.1071390783 1.1065758002 
0.1600000000 1.1055821824 1.1053970186 1.1052419570 1.1047178815 1.1041812796 
0.1700000000 1.1041574311 1.1039740403 1.1038300144 1.1033069805 1.1027932673 
0.1800000000 1.1036417273 1.1034622160 1.1033238053 1.1028231049 1.1023265574 
0.1900000000 1.1039485403 1.1037738536 1.1036426533 1.1031603961 1.1026974345 
0.2000000000 1.1049961442 1.1048287963 1.1047043602 1.1042433452 1.1038099862 
0.2100000000 1.1067034053 1.1065443291 1.1064279382 1.1059906317 1.1055707151 
0.2200000000 1.1089929250 1.1088434863 1.1087385075 1.1083188221 1.1079461854 
0.2300000000 1.1117900894 1.1116592214 1.1115523974 1.1111603819 1.1108530846 
0.2400000000 1.1150274165 1.1149078669 1.1148174659 1.1144664680 1.1141774569 
0.2500000000 1.1186401600 1.1185308592 1.1184486471 1.1181343732 1.1178858321 
0.2600000000 1.1225662676 1.1224762017 1.1223977381 1.1221261864 1.1219182187 
0.2700000000 1.1267508409 1.1266733998 1.1266080386 1.1263947692 1.1262286915 
0.2800000000 1.1311373766 1.1310842606 1.1310298982 1.1308363122 1.1307248109 
0.2900000000 1.1356790970 1.1356420737 1.1355999867 1.1354641292 1.1353743712 
0.3000000000 1.1403282230 1.1403239286 1.1402986932 1.1402308436 1.1401748368 
0.3100000000 1.1450450839 1.1450564066 1.1450549777 1.1450106551 1.1450032445 
0.3200000000 1.1497920408 1.1498304891 1.1498487735 1.1498619126 1.1499692678 
0.3300000000 1.1545342782 1.1545907197 1.1546274578 1.1547203098 1.1548465090 
0.3400000000 1.1592366513 1.1593229446 1.1593817038 1.1595541315 1.1596989857 
0.3500000000 1.1638888863 1.1639652311 1.1640801375 1.1642848718 1.1644936844 
0.3600000000 1.1684190791 1.1685438652 1.1686398248 1.1689147961 1.1692130259 
0.3700000000 1.1728301360 1.1729769648 1.1731055699 1.1734480026 1.1738148965 
0.3800000000 1.1771218831 1.1772890826 1.1774083160 1.1778831551 1.1782211707 
0.3900000000 1.1812349107 1.1814202028 1.1815846799 1.1820820415 1.1824976980 
0.4000000000 1.1851914314 1.1854018136 1.1855999932 1.1861293784 1.1866278792 
0.4100000000 1.1889378739 1.1891666913 1.1893805427 1.1900423851 1.1905929711 
0.4200000000 1.1925036903 1.1927448206 1.1929706846 1.1937360027 1.1943121125 
0.4300000000 1.1958213420 1.1961292367 1.1963736718 1.1972229870 1.1979381326 
0.4400000000 1.1989339786 1.1992301284 1.1994889689 1.2003883974 1.2013487299 
0.4500000000 1.2017843097 1.2021192951 1.2023921329 1.2033455897 1.2043860595 
0.4600000000 1.2044156005 1.2047416551 1.2050814595 1.2060772310 1.2071036703 
0.4700000000 1.2067675592 1.2071351391 1.2074505044 1.2085635105 1.2096054960 
0.4800000000 1.2088888454 1.2092916616 1.2096019629 1.2108352006 1.2119412067 
0.4900000000 1.2107093553 1.2111355413 1.2115115430 1.2128825101 1.2140288494 
0.5000000000 1.2122911258 1.2127372662 1.2131815894 1.2145094178 1.2158193551 
0.5100000000 1.2135718505 1.2141001937 1.2144920647 1.2158431916 1.2173406323 
0.5200000000 1.2146069764 1.2151142596 1.2155658243 1.2169587478 1.2184637442 
0.5300000000 1.2153463918 1.2158946531 1.2163953279 1.2178340119 1.2193478575 
0.5400000000 1.2158406007 1.2164193671 1.2169682746 1.2184373992 1.2200127100 
0.5500000000 1.2160352253 1.2166026836 1.2171717859 1.2188341059 1.2203705684 
0.5600000000 1.2159819379 1.2165546426 1.2171454953 1.2187966035 1.2204959421 
0.5700000000 1.2156832333 1.2162553239 1.2168527506 1.2185287000 1.2203693374 
0.5800000000 1.2150523220 1.2157087508 1.2163133368 1.2180005957 1.2200533569 
0.5900000000 1.2141767021 1.2148146113 1.2155525851 1.2171874247 1.2194017531 
0.6000000000 1.2130578319 1.2136748120 1.2143963388 1.2162128643 1.2184960829 
0.6100000000 1.2116135760 1.2122931371 1.2129895997 1.2149441038 1.2173717406 
0.6200000000 1.2099321176 1.2106749701 1.2113528388 1.2134190703 1.2159685183 
0.6300000000 1.2080125647 1.2087242365 1.2094672792 1.2116863742 1.2140342069 
0.6400000000 1.2057921986 1.2065340285 1.2073585864 1.2097335190 1.2118617279 
0.6500000000 1.2033419407 1.2041137926 1.2048979611 1.2072947470 1.2094822628 
0.6600000000 1.2006600182 1.2014672227 1.2022047043 1.2045785149 1.2069337894 
0.6700000000 1.1977105072 1.1985154975 1.1992864384 1.2017162350 1.2041354360 
0.6800000000 1.1945367853 1.1953332514 1.1961211959 1.1986495388 1.2011203426 
0.6900000000 1.1911409542 1.1919340657 1.1927547775 1.1953405700 1.1977717966 
0.7000000000 1.1874904162 1.1883053632 1.1891686129 1.1917267607 1.1942408112 
0.7100000000 1.1836245294 1.1844669565 1.1852802671 1.1880028834 1.1904438428 
0.7200000000 1.1795457493 1.1803515114 1.1811769626 1.1840613460 1.1864736974 
0.7300000000 1.1752317258 1.1760237065 1.1768709016 1.1798639469 1.1823113377 
0.7400000000 1.1707128811 1.1714981046 1.1723593043 1.1752819431 1.1777783515 
0.7500000000 1.1659939508 1.1667705644 1.1676198682 1.1704726884 1.1730610367 
0.7600000000 1.1610582831 1.1618112839 1.1627011818 1.1654304681 1.1681399534 
0.7700000000 1.1559267028 1.1566677808 1.1575283798 1.1602966367 1.1629351578 
0.7800000000 1.1506034855 1.1513279943 1.1521831139 1.1549741854 1.1575207621 
0.7900000000 1.1450918440 1.1458056268 1.1466503724 1.1494604533 1.1519957879 
0.8000000000 1.1393950618 1.1400903496 1.1409203073 1.1437060145 1.1462561856 
0.8100000000 1.1335189952 1.1341924733 1.1350275033 1.1377551605 1.1402989005 
0.8200000000 1.1274737344 1.1281292415 1.1289483715 1.1316403661 1.1342247467 
0.8300000000 1.1212562467 1.1218888543 1.1227119734 1.1253858070 1.1279859064 
0.8400000000 1.1148710965 1.1154771050 1.1162857537 1.1189682898 1.1215209988 
0.8500000000 1.1083520873 1.1089256847 1.1097039702 1.1123324701 1.1148373794 
0.8600000000 1.1016702060 1.1022237051 1.1029779380 1.1055401053 1.1080289519 
0.8700000000 1.0948301504 1.0953595228 1.0960713914 1.0985716973 1.1010458018 
0.8800000000 1.0878732836 1.0883304284 1.0890165863 1.0914423077 1.0939244862 
0.8900000000 1.0807679259 1.0811624672 1.0818807135 1.0842494011 1.0866723683 
0.9000000000 1.0735136446 1.0739355429 1.0745881861 1.0768449913 1.0793281694 
0.9100000000 1.0661785027 1.0665727732 1.0671600965 1.0693098648 1.0717410022 
0.9200000000 1.0587040093 1.0590557511 1.0595928561 1.0616419622 1.0641080655 
0.9300000000 1.0510936219 1.0514083268 1.0518866520 1.0539974788 1.0563776637 
0.9400000000 1.0434116218 1.0437184896 1.0441537889 1.0462176819 1.0483977028 
0.9500000000 1.0355995456 1.0358997949 1.0362793888 1.0383005207 1.0404263480 
0.9600000000 1.0276640451 1.0279555014 1.0282959561 1.0302086454 1.0322158178 
0.9700000000 1.0196873855 1.0198900981 1.0201956791 1.0219948267 1.0238426628 
0.9800000000 1.0115920288 1.0117973352 1.0119674451 1.0136940834 1.0153821418 
0.9900000000 1.0034312364 1.0035983377 1.0037547339 1.0052493287 1.0069781027 
1.0000000000 0.9951597548 0.9952837138 0.9954399037 0.9967463937 0.9984659872 
1.0100000000 0.9867797009 0.9868520899 0.9870123336 0.9883107098 0.9898988285 
1.0200000000 0.9783784895 0.9784177568 0.9784799958 0.9797840234 0.9812207564 
1.0300000000 0.9698755664 0.9698941435 0.9698482919 0.9711763081 0.9723717322 
1.0400000000 0.9613353564 0.9612675389 0.9612958837 0.9624749986 0.9635227073 
1.0500000000 0.9527020529 0.9525494299 0.9526429252 0.9536787914 0.9545000911 
1.0600000000 0.9440310954 0.9438734523 0.9439000944 0.9447627022 0.9454756048 
1.0700000000 0.9352743219 0.9351011244 0.9350661732 0.9357494751 0.9362749833 
1.0800000000 0.9264979303 0.9262502305 0.9261510259 0.9267069617 0.9271673423 
1.0900000000 0.9176429083 0.9174182998 0.9173184558 0.9178402444 0.9179395109 
1.1000000000 0.9087813542 0.9085084348 0.9084154918 0.9089441737 0.9090338674 
1.1100000000 0.8998458017 0.8995256236 0.8994373307 0.8999483687 0.9000076071 
1.1200000000 0.8909069298 0.8904901189 0.8903751210 0.8909216436 0.8909187724 
1.1300000000 0.8819004380 0.8815284169 0.8812591535 0.8817931899 0.8817068048 
1.1400000000 0.8728884384 0.8725036230 0.8722581115 0.8726323193 0.8725292292 
1.1500000000 0.8638137661 0.8634071117 0.8631792731 0.8633329730 0.8632266481 
1.1600000000 0.8547537520 0.8543570335 0.8540451964 0.8540000337 0.8538589547 
1.1700000000 0.8456381371 0.8452517861 0.8448631354 0.8449066481 0.8444633936 
1.1800000000 0.8365328417 0.8360946569 0.8357595408 0.8357086597 0.8350018277 
1.1900000000 0.8273819254 0.8268987120 0.8265994011 0.8264765314 0.8255312786 
1.2000000000 0.8182619310 0.8177875060 0.8174018489 0.8172097699 0.8164206502 
1.2100000000 0.8090997935 0.8086429787 0.8081858130 0.8078959005 0.8072445253 
1.2200000000 0.7999728441 0.7994507676 0.7989312786 0.7985463986 0.7979385572 
1.2300000000 0.7908101358 0.7903386906 0.7897746261 0.7891608165 0.7886670007 
1.2400000000 0.7816816981 0.7811845021 0.7806187671 0.7800540568 0.7794613371 
1.2500000000 0.7725220300 0.7720012694 0.7714237907 0.7708390081 0.7700659727 
1.2600000000 0.7634094086 0.7628949570 0.7621892402 0.7616333706 0.7607610087 
1.2700000000 0.7542706698 0.7537456349 0.7530760277 0.7523906880 0.7513877497 
1.2800000000 0.7451771153 0.7445764332 0.7439270690 0.7431375672 0.7421051118 
1.2900000000 0.7360633367 0.7354976619 0.7347531234 0.7338470925 0.7326306093 
1.3000000000 0.7269924220 0.7263986888 0.7255628680 0.7245803722 0.7235698493 
1.3100000000 0.7179057025 0.7172856316 0.7165274885 0.7152757608 0.7144414911 
1.3200000000 0.7088763553 0.7082555674 0.7074759492 0.7062454595 0.7053014712 
1.3300000000 0.6998373475 0.6992170394 0.6984231004 0.6972392357 0.6960725348 
1.3400000000 0.6908590821 0.6901640539 0.6893421578 0.6881949336 0.6869054057 
1.3500000000 0.6818773171 0.6812207443 0.6803978445 0.6791744914 0.6777734804 
1.3600000000 0.6729591519 0.6722787839 0.6714616437 0.6700818414 0.6686281615 
1.3700000000 0.6640400738 0.6633343621 0.6625122896 0.6609951854 0.6595184868 
1.3800000000 0.6551771123 0.6544873557 0.6535815177 0.6519319140 0.6502688105 
1.3900000000 0.6463200731 0.6456378158 0.6447815402 0.6430431907 0.6410548131 
1.4000000000 0.6375323647 0.6367929978 0.6359644137 0.6341785395 0.6321155742 
