t q1 q2 q3 q4 q5 
0.0000000100 1.3224215164 1.3224215164 1.3224215164 1.3224215164 1.3224215164 
0.3000000000 1.1403282230 1.1403239286 1.1402986932 1.1402308436 1.1401748368 
0.6000000000 1.2130578319 1.2136748120 1.2143963388 1.2162128643 1.2184960829 
0.9000000000 1.0735136446 1.0739355429 1.0745881861 1.0768449913 1.0793281694 
1.2000000000 0.8182619310 0.8177875060 0.8174018489 0.8172097699 0.8164206502 
1.5000000000 0.5518591958 0.5511881431 0.5499807713 0.5477547366 0.5449486296 
1.8000000000 0.3301395325 0.3293673462 0.3284291804 0.3256371509 0.3223341749 
2.1000000000 0.1718687624 0.1713216819 0.1709892701 0.1688683316 0.1676122334 
2.4000000000 0.0768558896 0.0770803371 0.0776030203 0.0788552226 0.0802058770 
2.7000000000 0.0420282544 0.0434586445 0.0449739551 0.0499279812 0.0548906227 
3.0000000000 0.0425808388 0.0439791413 0.0454275320 0.0505271997 0.0552029423 
3.3000000000 0.0419171329 0.0429161820 0.0442334135 0.0485945028 0.0526512185 
3.6000000000 0.0352658697 0.0362669572 0.0375922473 0.0418959577 0.0468515090 
3.9000000000 0.0262823782 0.0272610987 0.0287145567 0.0334433484 0.0396500940 
4.2000000000 0.0174101461 0.0186894903 0.0205137732 0.0267183769 0.0340278858 
4.5000000000 0.0104928462 0.0119826929 0.0143358848 0.0225999938 0.0307568521 
4.8000000000 0.0054648741 0.0076529521 0.0105711407 0.0205453533 0.0294553884 
5.1000000000 0.0025766769 0.0057162234 0.0090132600 0.0200569124 0.0292389672 
5.4000000000 0.0016336347 0.0052267524 0.0088113786 0.0203373495 0.0301021163 
5.7000000000 0.0017679602 0.0054699219 0.0092026150 0.0210409715 0.0309492864 
6.0000000000 0.0018825817 0.0058893073 0.0097127111 0.0217844514 0.0324643510 
6.3000000000 0.0020823053 0.0063264921 0.0102702446 0.0226516345 0.0332514331 
6.6000000000 0.0021546751 0.0067046555 0.0108398837 0.0237031562 0.0343499486 
6.9000000000 0.0022299475 0.0069798910 0.0112460409 0.0245105407 0.0358051712 
7.2000000000 0.0023818373 0.0072760195 0.0116161300 0.0252589708 0.0371072605 
7.5000000000 0.0025481019 0.0076231300 0.0120854034 0.0262452846 0.0385950816 
7.8000000000 0.0026601553 0.0078765469 0.0125093020 0.0272020067 0.0397388289 
8.1000000000 0.0027248305 0.0080801926 0.0129557656 0.0280583421 0.0405629333 
8.4000000000 0.0027737405 0.0083357748 0.0133329964 0.0289120527 0.0416950661 
8.7000000000 0.0028482724 0.0085708799 0.0136149909 0.0296650835 0.0429523425 
9.0000000000 0.0028805061 0.0087139206 0.0138688082 0.0302570554 0.0436820161 
9.3000000000 0.0029211842 0.0087624040 0.0141003974 0.0305823455 0.0450979867 
9.6000000000 0.0029682854 0.0087914245 0.0142004670 0.0308940466 0.0455302023 
9.9000000000 0.0030180215 0.0088210077 0.0142336820 0.0312833849 0.0464383139 
10.2000000000 0.0030269925 0.0088431811 0.0143458442 0.0313960067 0.0466391363 
10.5000000000 0.0030428530 0.0088645052 0.0145178398 0.0313773260 0.0471474661 
10.8000000000 0.0030781304 0.0089894271 0.0146706805 0.0316201130 0.0473323855 
11.1000000000 0.0031299507 0.0091868244 0.0147892681 0.0316510674 0.0473804393 
11.4000000000 0.0031164128 0.0093550829 0.0149226390 0.0319050415 0.0479269256 
11.7000000000 0.0030516151 0.0094399233 0.0150235846 0.0324710076 0.0478162906 
12.0000000000 0.0029592038 0.0094350832 0.0151184847 0.0328925162 0.0485909811 
12.3000000000 0.0028245220 0.0093582736 0.0151791511 0.0332197224 0.0494992216 
12.6000000000 0.0026972033 0.0091511278 0.0150999895 0.0336966324 0.0493150143 
12.9000000000 0.0025072651 0.0088324677 0.0147212725 0.0333979269 0.0490761498 
13.2000000000 0.0021744970 0.0085038755 0.0141978764 0.0328139852 0.0493002721 
13.5000000000 0.0014364244 0.0076152364 0.0136286787 0.0322578643 0.0492369830 
13.8000000000 0.0012576249 0.0058708761 0.0121250485 0.0305986058 0.0477337875 
