t NoGP OffGP ET TT 
0.0000000100 1.4581377217 1.3224215164 1.3224215164 1.3224215164 
0.0200000000 1.4040543747 1.2694999803 1.2699076388 1.2699076388 
0.0300000000 1.3805755130 1.2463275007 1.2466753035 1.2466753035 
0.0400000000 1.3594320777 1.2252352228 1.2254141425 1.2254141425 
0.0500000000 1.3405545596 1.2061204257 1.2061135419 1.2061135419 
0.0600000000 1.3238992808 1.1888868233 1.1887188897 1.1887188897 
0.0700000000 1.3093935272 1.1734516101 1.1731757632 1.1731757632 
0.0800000000 1.2969319700 1.1597563032 1.1596587624 1.1594311372 
0.0900000000 1.2864357886 1.1477386785 1.1478269510 1.1474171994 
0.1000000000 1.2778061764 1.1373398257 1.1375981509 1.1370522226 
0.1100000000 1.2709290815 1.1285050249 1.1288916217 1.1282610073 
0.1200000000 1.2656884958 1.1211669723 1.1216422358 1.1209582864 
0.1300000000 1.2619796090 1.1152193610 1.1157469595 1.1150521454 
0.1400000000 1.2596835470 1.1105779216 1.1111215939 1.1104552954 
0.1500000000 1.2586886645 1.1071406767 1.1076834533 1.1070777758 
0.1600000000 1.2588801240 1.1047934533 1.1053277067 1.1048200456 
0.1700000000 1.2601498710 1.1034421120 1.1039621942 1.1035924332 
0.1800000000 1.2623908891 1.1029895164 1.1035024899 1.1033097777 
0.1900000000 1.2655016045 1.1033445420 1.1038664532 1.1038750825 
0.2000000000 1.2693813195 1.1044269713 1.1049687223 1.1052110368 
0.2100000000 1.2739400142 1.1061527527 1.1067284285 1.1070914469 
0.2200000000 1.2790977788 1.1084521408 1.1090714350 1.1095322155 
0.2300000000 1.2847647677 1.1112618791 1.1119319341 1.1124598857 
0.2400000000 1.2908603316 1.1145077722 1.1152331959 1.1158163046 
0.2500000000 1.2973247868 1.1181390109 1.1189187070 1.1195333135 
0.2600000000 1.3040883067 1.1220909535 1.1228582136 1.1235562993 
0.2700000000 1.3110899579 1.1263161671 1.1270531970 1.1278317322 
0.2800000000 1.3182808890 1.1307650167 1.1314592803 1.1323088075 
0.2900000000 1.3256058553 1.1353878128 1.1360313392 1.1369303669 
0.3000000000 1.3330185909 1.1401343954 1.1407160511 1.1416689566 
0.3100000000 1.3404677139 1.1449744178 1.1454814231 1.1464815790 
0.3200000000 1.3479257590 1.1498732804 1.1502906803 1.1513242737 
0.3300000000 1.3553612079 1.1547917620 1.1550984042 1.1561668147 
0.3400000000 1.3627451302 1.1596940715 1.1599024739 1.1609815846 
0.3500000000 1.3700393022 1.1645614837 1.1646433417 1.1657463684 
0.3600000000 1.3772241331 1.1693621631 1.1693144500 1.1704167404 
0.3700000000 1.3842703120 1.1740729402 1.1738764844 1.1749930690 
0.3800000000 1.3911548160 1.1786657548 1.1783237148 1.1794504323 
0.3900000000 1.3978803428 1.1831200596 1.1826324583 1.1837744952 
0.4000000000 1.4044095197 1.1874223866 1.1865205867 1.1879296692 
0.4100000000 1.4107478273 1.1915496749 1.1902392998 1.1915583431 
0.4200000000 1.4168665590 1.1954875250 1.1937512793 1.1949937892 
0.4300000000 1.4227613391 1.1992335225 1.1970825704 1.1982304122 
0.4400000000 1.4284153162 1.2027569669 1.2002046097 1.2012559471 
0.4500000000 1.4338342487 1.2060545196 1.2031150640 1.2040618673 
0.4600000000 1.4389761080 1.2091307611 1.2057965007 1.2066590681 
0.4700000000 1.4438508973 1.2119602073 1.2082512684 1.2090120016 
0.4800000000 1.4484865801 1.2145428205 1.2104761551 1.2111455138 
0.4900000000 1.4528354353 1.2168772209 1.2124751000 1.2130459108 
0.5000000000 1.4569105096 1.2189583253 1.2142362701 1.2146929053 
0.5100000000 1.4606792497 1.2207912592 1.2157487212 1.2160860455 
0.5200000000 1.4641737863 1.2223755991 1.2170288765 1.2172439074 
0.5300000000 1.4673746832 1.2237236288 1.2180261702 1.2181698365 
0.5400000000 1.4702979974 1.2248148643 1.2187994567 1.2188153671 
0.5500000000 1.4729142657 1.2256506705 1.2193289269 1.2192279234 
0.5600000000 1.4752388915 1.2262713596 1.2195904005 1.2194124241 
0.5700000000 1.4772735018 1.2266573352 1.2196084052 1.2193204512 
0.5800000000 1.4790239421 1.2268321914 1.2193705433 1.2189856066 
0.5900000000 1.4804523190 1.2267867831 1.2188859339 1.2184041757 
0.6000000000 1.4815968699 1.2265309826 1.2181653240 1.2175945452 
0.6100000000 1.4824278109 1.2260599187 1.2172131860 1.2158570029 
0.6200000000 1.4829763662 1.2253952781 1.2159980234 1.2138696967 
0.6300000000 1.4832126909 1.2245471001 1.2145262933 1.2116583292 
0.6400000000 1.4831364812 1.2235108953 1.2128233765 1.2092186130 
0.6500000000 1.4827690426 1.2223081543 1.2108780709 1.2065435032 
0.6600000000 1.4821100534 1.2209195520 1.2078042541 1.2036300077 
0.6700000000 1.4811515353 1.2193622575 1.2045316140 1.2004888019 
0.6800000000 1.4798853297 1.2176635157 1.2010415882 1.1971164612 
0.6900000000 1.4783076380 1.2158032204 1.1973123459 1.1935407475 
0.7000000000 1.4764440408 1.2137967919 1.1933865747 1.1897358366 
0.7100000000 1.4742645513 1.2116194806 1.1892497339 1.1857213863 
0.7200000000 1.4718113863 1.2093161226 1.1848916338 1.1815064209 
0.7300000000 1.4690334855 1.2068631475 1.1803284552 1.1770846107 
0.7400000000 1.4659940866 1.2042568293 1.1755537144 1.1724565028 
0.7500000000 1.4626219218 1.2015033300 1.1705844094 1.1676193372 
0.7600000000 1.4589724141 1.1986209067 1.1654180570 1.1625789089 
0.7700000000 1.4550579563 1.1955995785 1.1600488689 1.1573561511 
0.7800000000 1.4508466298 1.1924566305 1.1545053159 1.1519412544 
0.7900000000 1.4463433881 1.1891556726 1.1487656512 1.1463517290 
0.8000000000 1.4415477275 1.1857244317 1.1428474969 1.1405641168 
0.8100000000 1.4364515845 1.1821406119 1.1367610781 1.1344130278 
0.8200000000 1.4310801530 1.1784165610 1.1304915446 1.1280740223 
0.8300000000 1.4254016293 1.1745421658 1.1240332095 1.1215812419 
0.8400000000 1.4194740593 1.1705302419 1.1174375372 1.1149167004 
0.8500000000 1.4132651247 1.1663755859 1.1106814140 1.1080868737 
0.8600000000 1.4067924189 1.1620717314 1.1037473608 1.1011145175 
0.8700000000 1.4000444405 1.1576121920 1.0966821722 1.0939938130 
0.8800000000 1.3930280055 1.1529836842 1.0894469408 1.0866899082 
0.8900000000 1.3857219796 1.1482232005 1.0820766849 1.0792675359 
0.9000000000 1.3781660270 1.1432870004 1.0745713151 1.0716913549 
0.9100000000 1.3703277755 1.1381747959 1.0669292543 1.0639719960 
0.9200000000 1.3622560905 1.1329213205 1.0591433841 1.0561309264 
0.9300000000 1.3539362827 1.1275009570 1.0512174368 1.0481648334 
0.9400000000 1.3453248764 1.1219035945 1.0431657882 1.0400741534 
0.9500000000 1.3364830483 1.1161397383 1.0349890207 1.0318554485 
0.9600000000 1.3274050396 1.1102080211 1.0267136678 1.0234875250 
0.9700000000 1.3180986386 1.1040860661 1.0183043937 1.0150369729 
0.9800000000 1.3085671139 1.0977768798 1.0097776240 1.0064722672 
0.9900000000 1.2987788076 1.0912953051 1.0011544130 0.9978064690 
1.0000000000 1.2888033175 1.0846264331 0.9924270304 0.9890461550 
1.0100000000 1.2786098678 1.0777917340 0.9839611015 0.9805996723 
1.0200000000 1.2681939130 1.0707578058 0.9754084736 0.9720390274 
1.0300000000 1.2575510150 1.0635212657 0.9667560203 0.9633724126 
1.0400000000 1.2466991819 1.0561295800 0.9579986440 0.9546052308 
1.0500000000 1.2356838109 1.0485268054 0.9491392178 0.9457896661 
1.0600000000 1.2244526518 1.0407516361 0.9402111949 0.9368675492 
1.0700000000 1.2130515713 1.0327753420 0.9312098409 0.9278764445 
1.0800000000 1.2014620463 1.0246166323 0.9221261441 0.9187997358 
1.0900000000 1.1897194930 1.0162755789 0.9129673161 0.9096522796 
1.1000000000 1.1777992674 1.0077281551 0.9037554122 0.9004293779 
1.1100000000 1.1657301264 0.9990007330 0.8944666929 0.8911531544 
1.1200000000 1.1535245360 0.9900968992 0.8851115774 0.8818229340 
1.1300000000 1.1411696261 0.9809958028 0.8757013044 0.8724223579 
1.1400000000 1.1286754396 0.9717151428 0.8662546053 0.8629665544 
1.1500000000 1.1160766399 0.9622518385 0.8567282745 0.8534743125 
1.1600000000 1.1033369495 0.9526032089 0.8471526155 0.8439257257 
1.1700000000 1.0905170074 0.9427577543 0.8375390581 0.8343397367 
1.1800000000 1.0775911404 0.9327347601 0.8279106867 0.8247159336 
1.1900000000 1.0645574243 0.9225510909 0.8182436981 0.8150696265 
1.2000000000 1.0514321530 0.9122009678 0.8085377161 0.8053964754 
1.2100000000 1.0382387298 0.9017023179 0.7987963011 0.7964218373 
1.2200000000 1.0250020680 0.8910278428 0.7890389202 0.7873908927 
1.2300000000 1.0116989767 0.8802069359 0.7792614312 0.7783622846 
1.2400000000 0.9983417130 0.8692657494 0.7694676257 0.7692762296 
1.2500000000 0.9849478609 0.8581426368 0.7596689824 0.7601760581 
1.2600000000 0.9715385195 0.8468961811 0.7507446424 0.7510653886 
1.2700000000 0.9580682033 0.8355622011 0.7418220446 0.7419159794 
1.2800000000 0.9445772742 0.8241159224 0.7328611416 0.7327515825 
1.2900000000 0.9310905872 0.8125665087 0.7238655480 0.7235874012 
1.3000000000 0.9176120887 0.8009214874 0.7148589572 0.7143961149 
1.3100000000 0.9041422599 0.7892175160 0.7058372402 0.7052045314 
1.3200000000 0.8907109843 0.7774538909 0.6968155666 0.6959969632 
1.3300000000 0.8772591534 0.7656499619 0.6877820500 0.6867770551 
1.3400000000 0.8638509166 0.7538206773 0.6787571113 0.6775765012 
1.3500000000 0.8504889960 0.7420039952 0.6697519052 0.6683839332 
1.3600000000 0.8371761826 0.7301777610 0.6607189516 0.6591990249 
1.3700000000 0.8239041312 0.7183592979 0.6517095459 0.6500125415 
1.3800000000 0.8107373674 0.7066036763 0.6427079607 0.6408429833 
1.3900000000 0.7976287424 0.6948780999 0.6337144311 0.6316964134 
1.4000000000 0.7846086561 0.6832370692 0.6247078624 0.6225571931 
1.4100000000 0.7716529121 0.6716471064 0.6157337337 0.6141203858 
1.4200000000 0.7587919442 0.6601616284 0.6068034168 0.6056817760 
1.4300000000 0.7460177036 0.6487740874 0.5978846823 0.5972676793 
1.4400000000 0.7333946056 0.6375085225 0.5889832927 0.5888665816 
1.4500000000 0.7208761597 0.6263726220 0.5801257346 0.5804783361 
1.4600000000 0.7084656620 0.6153444367 0.5712797071 0.5721139645 
1.4700000000 0.6961849308 0.6044708659 0.5624661829 0.5637620584 
1.4800000000 0.6840457852 0.5937154860 0.5543480902 0.5554224764 
1.4900000000 0.6720514897 0.5831249703 0.5462797734 0.5471204932 
1.5000000000 0.6601968131 0.5726875827 0.5382244927 0.5388518397 
